Name,gini
BETTYPEPE,0.659
CHINAPEPE,0.034
CLOWNPEPE,0.772
ENGLISHPEPE,0.562
GOLDGODPEPE,0.87
GTAPEP,0.534
KEKANC,0.796
KICKPEPE,0.79
KINGYOPEPE,0.715
LILUPEPE,0.703
MANDARAPEPE,0.699
MASTERSPEPE,0.792
MAXPEPE,0.649
PAKALOLO,0.897
PEPEAA,0.924
PEPEBANDICUT,0.695
PEPEBASS,0.731
PEPECIGARS,0.683
PEPEDARKSIDE,0.379
PEPEFOREVER,0.725
PEPEJERICHO,0.675
PEPEJPN,0.616
PEPELINK,0.155
PEPENIN,0.271
PEPEPUNKDOLL,0.821
PEPESCREAM,0.849
PEPESURFING,0.565
PEPEWORLDCUP,0.587
PEPEXGALLERY,0.826
PEPEYIP,0.845
PEPTARO,0.642
PROCESSPEPE,0.744
PSEUDOPEPE,0.652
PUNCHPEPE,0.824
RARETEMPLATE,0.731
WORLDOFPEPE,0.577
