Name,gini
BARBARIANPEP,0.465
BCCPEPE,0.666
CERSEIPEPE,0.623
CLUBSPEPE,0.528
DIAMONDSPEPE,0.562
ECLIPTICPEPE,0.709
EGGPLANTMKNY,0.855
FAIRYCASH,0.892
FLAMINPEPE,0.827
HOODEDPEPE,0.445
KFPEPE,0.542
LEIAORGAPEPE,0.486
ONEEYEMONKEY,0.859
PAXOLOTL,0.717
PEPEAMANIA,0.769
PEPEBOSCH,0.769
PEPECAKEK,0.535
PEPEKFC,0.648
PEPEMICO,0.728
PEPEMNEMONIC,0.495
PEPEMOJI,0.674
PEPEPARIETAL,0.753
PEPEPOST,0.774
PEPEQQ,0.907
PEPEXMAS,0.666
PIRATPEPE,0.63
RARELEAGUE,0.752
ROCKETPEPE,0.398
SISTNCHAPEPE,0.914
THENEWYORKEK,0.713
WITCHPEPE,0.665
