Name,x,points
,0.0,0.0
,0.2,0.14678899082568808
,0.4,0.29357798165137616
,0.6,0.44036697247706424
,0.8,0.5871559633027523
,1.0,1.0
,0.0,0.0
,0.2,0.16666666666666666
,0.4,0.3333333333333333
,0.6,0.5
,0.8,0.6666666666666666
,1.0,1.0
,0.0,0.0
,0.2,0.16326530612244897
,0.4,0.32653061224489793
,0.6,0.4897959183673469
,0.8,0.6530612244897959
,1.0,1.0
,0.0,0.0
,0.2,0.10526315789473684
,0.4,0.21052631578947367
,0.6,0.3157894736842105
,0.8,0.4421052631578947
,1.0,1.0
,0.0,0.0
,0.2,0.061224489795918366
,0.4,0.12244897959183673
,0.6,0.1836734693877551
,0.8,0.24489795918367346
,1.0,1.0
,0.0,0.0
,0.2,0.03636363636363636
,0.4,0.07272727272727272
,0.6,0.10909090909090909
,0.8,0.19636363636363635
,1.0,1.0
,0.0,0.0
,0.2,0.1326530612244898
,0.4,0.2653061224489796
,0.6,0.3979591836734694
,0.8,0.5612244897959183
,1.0,1.0
,0.0,0.0
,0.2,0.0707070707070707
,0.4,0.1414141414141414
,0.6,0.21212121212121213
,0.8,0.31313131313131315
,1.0,1.0
,0.0,0.0
,0.2,0.15384615384615385
,0.4,0.3076923076923077
,0.6,0.46153846153846156
,0.8,0.6410256410256411
,1.0,1.0
,0.0,0.0
,0.2,0.025714285714285714
,0.4,0.05142857142857143
,0.6,0.07714285714285714
,0.8,0.14285714285714285
,1.0,1.0
,0.0,0.0
,0.2,0.06020066889632107
,0.4,0.12040133779264214
,0.6,0.1806020066889632
,0.8,0.27424749163879597
,1.0,1.0
,0.0,0.0
,0.2,0.08163265306122448
,0.4,0.16326530612244897
,0.6,0.24489795918367346
,0.8,0.3673469387755102
,1.0,1.0
,0.0,0.0
,0.2,0.05333333333333334
,0.4,0.10666666666666667
,0.6,0.18
,0.8,0.36666666666666664
,1.0,1.0
,0.0,0.0
,0.2,0.11926605504587157
,0.4,0.23853211009174313
,0.6,0.3577981651376147
,0.8,0.47706422018348627
,1.0,1.0
,0.0,0.0
,0.2,0.11926605504587157
,0.4,0.23853211009174313
,0.6,0.3577981651376147
,0.8,0.47706422018348627
,1.0,1.0
,0.0,0.0
,0.2,0.102803738317757
,0.4,0.205607476635514
,0.6,0.308411214953271
,0.8,0.4953271028037383
,1.0,1.0
,0.0,0.0
,0.2,0.02
,0.4,0.04
,0.6,0.06
,0.8,0.08333333333333333
,1.0,1.0
,0.0,0.0
,0.2,0.09
,0.4,0.18
,0.6,0.27
,0.8,0.37
,1.0,1.0
