,Date,Volume sold
0,2022-06,7704.0721
1,2022-05,18399.606945959997
2,2022-04,24045.267685450002
3,2022-03,110259.61865024295
4,2022-02,130054.64367028992
5,2022-01,282250.532309058
6,2021-12,47134.05926187773
7,2021-11,305505.9133742428
8,2021-10,373975.43053500366
9,2021-09,1274395.9205670247
10,2021-08,1243830.1108414605
11,2021-07,396812.1797345162
12,2021-06,32430.278946419898
13,2021-05,80785.21173520965
14,2021-04,31232.243117406997
15,2021-03,123609.05197233325
16,2021-02,114.515725
17,2021-01,161.55212799
18,2020-12,2.71
19,2020-11,247.66161617000003
20,2020-10,139.28125126999998
21,2020-09,11352.16269678
22,2020-08,113.82
23,2020-07,78.59
24,2020-06,18.97
25,2020-05,50.135000000000005
26,2020-04,1051.9275451699998
27,2020-03,62.33
28,2020-02,55.717600000000004
29,2020-01,192.41
30,2019-12,16.259999999999998
31,2019-11,327.79250856
32,2019-10,108.4
33,2019-09,27.1
34,2019-08,948.4999999999998
35,2019-07,119.24
36,2019-06,279.1571000271
37,2019-05,318.1811
38,2019-04,348.3433999999999
39,2019-03,36.7205
40,2019-02,201.89499999999998
41,2019-01,162.6
42,2018-12,10.84
43,2018-11,37.940000000000005
44,2018-10,21.0025
45,2018-09,10.162500000000001
46,2018-08,40.42416666666667
47,2018-07,92.8717
48,2018-06,59.75549999999999
49,2018-05,77.2079
50,2018-04,575.0487751999999
51,2018-03,842.2630343586007
52,2018-02,245.8783
53,2018-01,267.416567
54,2017-12,1014.9952700000001
55,2017-11,235.67244000000005
56,2017-10,265.3425931599999
57,2017-09,1289.8570199187
58,2017-08,1136.6417500000007
59,2017-07,7284.640793324306
60,2017-06,1507.741290972901
61,2017-05,2832.658243432402
62,2017-04,3765.625758027105
63,2017-03,3677.932506675704
64,2017-02,10782.878137186353
65,2017-01,7109.175790972874
66,2016-12,2400.5623688517035
67,2016-11,2284.2741060492936
68,2016-10,7314.611258006894
69,2016-09,3550.084065227099
