,Date,Volume sold
0,2022-06,7421.495899999998
1,2022-05,16331.416064740002
2,2022-04,16168.435257170007
3,2022-03,93742.30598899173
4,2022-02,117686.52318122004
5,2022-01,244175.35627302784
6,2021-12,41588.55747064423
7,2021-11,287765.10150420276
8,2021-10,351116.9596319613
9,2021-09,1204836.5535008477
10,2021-08,1166770.5821560854
11,2021-07,382665.23423858004
12,2021-06,31575.974140753704
13,2021-05,81382.36953467112
14,2021-04,27294.308181254324
15,2021-03,121709.23925557519
16,2021-02,110.5146
17,2021-01,158.1408395
18,2020-11,219.80582420999997
19,2020-10,94.0494534
20,2020-09,11428.536
21,2020-08,114.66
22,2020-07,60.06
23,2020-05,30.03
24,2020-04,756.322
25,2020-03,38.22
26,2020-02,45.208800000000004
27,2020-01,103.74000000000001
28,2019-11,334.11776327999996
29,2019-10,81.9
30,2019-09,27.3
31,2019-08,851.76
32,2019-07,54.6
33,2019-06,172.0173000273
34,2019-05,297.1878
35,2019-04,338.7657000000001
36,2019-03,36.9915
37,2019-02,124.215
38,2019-01,163.8
39,2018-12,10.92
40,2018-11,38.22
41,2018-10,19.7925
42,2018-09,7.5075
43,2018-08,10.556000000000001
44,2018-07,63.14490000000001
45,2018-06,52.061099999999996
46,2018-05,71.7717
47,2018-04,543.8163276000001
48,2018-03,673.8103217118008
49,2018-02,196.77840000000003
50,2018-01,250.280121
51,2017-12,969.6605100000003
52,2017-11,237.41171999999997
53,2017-10,181.91218500000002
54,2017-09,1242.7151099181012
55,2017-08,977.7768000000001
56,2017-07,6688.508189999998
57,2017-06,1311.3175529999996
58,2017-05,2744.866063321201
59,2017-04,3468.2643450273013
60,2017-03,3456.4805730272974
61,2017-02,10511.62967399999
62,2017-01,6831.189455972667
63,2016-12,2309.9672870001004
64,2016-11,2136.0599102331516
65,2016-10,7059.2008179692775
66,2016-09,3449.467257627295
