Name,gini
BANDAGEDPEPE,0.75
BEHAPPYPEPE,0.433
BOFPEPE,0.536
CANTDRAWPEPE,0.466
CLCKWRKGREEN,0.655
DOGEVSPEPE,0.718
GENIEPEPE,0.581
GRANDPEPES,0.696
GREEDYPEPES,0.742
ILLIDANPEPE,0.597
KNITTEDPEPE,0.503
MADMAXPEPE,0.698
MRPOTATOPEPE,0.458
OWLPEPE,0.637
PEPEBASQUIAT,0.671
PEPEFLECTION,0.929
PEPEGODDESS,0.745
PEPEGOTSWAG,0.724
PEPEKIDSART,0.43
PEPEMAORI,0.67
PEPENOSAURUS,0.84
PEPEPILLOW,0.783
PEPEPOOL,0.471
PEPERECHAUN,0.876
PEPERREVENGE,0.775
PEPESCHEME,0.573
PEPESHELDON,0.701
PEPESKELETON,0.688
PEPESUPREME,0.463
PERAPPA,0.92
PISFORPEPE,0.882
PUZZLEPEPE,0.875
RARESLIMPEPE,0.786
RAREWOLFPEPE,0.833
ROCKINGPEPE,0.846
SEAPEPE,0.647
SEXAYEPEPE,0.93
SOLODADPEPE,0.835
THINKINGPEPE,0.832
TWOPLYPEPE,0.798
VEGGIEPEPE,0.748
WESTERNPEPE,0.776
ZENAFPEPE,0.492
