Name,gini
BLINGBLING,0.6
CLAYPEPE,0.538
DEUSEXPEPE,0.331
ENDRACISMPE,0.768
FILEONPEPE,0.414
FREETIBETPP,0.506
HUMBLEPEPE,0.619
KUNGFUPEPE,0.628
MINDPEPEHOFF,0.858
NOBORDERPEPE,0.651
ORTRAILPEPE,0.808
PACPEP,0.868
PAWNTHELAMBO,0.479
PENPEN,0.437
PEPEAGYO,0.829
PEPEANDROID,0.595
PEPECOURAGE,0.407
PEPEDOL,0.77
PEPEGRAM,0.567
PEPEHITMAN,0.687
PEPEINSIDE,0.657
PEPELCHTNSTN,0.78
PEPEPEARL,0.303
PEPESAILORV,0.837
PEPESIGNGUY,0.849
RAREAPPLE,0.624
RONINKEK,0.859
ROTATINGPEPE,0.795
SODAPEPENSKI,0.671
THEKINGPEPE,0.56
VIKINGSPEPE,0.638
WEEDTIME,0.894
YUGUREPEPE,0.728
