Name,gini
COINEATER,0.931
CONSPIRATARD,0.828
CRYPTOPEPES,0.598
GROYLEX,0.541
GROYPAUCTION,0.676
GROYPERMONKY,0.87
HEARTSPEPE,0.584
INDIANAPEPE,0.653
JANDPEPE,0.733
KEKOGGS,0.637
LIGHTITON,0.248
LITTLEGREEN,0.915
MEGAPEPEMAN,0.925
NIGHTKINGPEP,0.787
OUIJAPEPE,0.613
PEDURO,0.924
PEPEAKIBA,0.551
PEPECAFFE,0.665
PEPECLOCK,0.366
PEPEHAWKING,0.61
PEPEKITTIES,0.73
PEPEKK,0.907
PEPELOCATION,0.527
PEPENNATOR,0.462
PEPEPEACOCK,0.549
PEPEWAY,0.571
PEPEWISHPERS,0.696
RAREPEGO,0.777
SPACEMOUTH,0.601
SPADESPEPE,0.582
THEPEPEHOFF,0.663
UGANDANPEPE,0.537
