Name,gini
BITCOINPEPE,0.349
BURNINGPEPE,0.88
CALLHOTPEPE,0.899
CANNEDPEPE,0.303
CHEECHPEPE,0.324
CHONGPEPE,0.376
CNTRFLDPEPE,0.824
CONFUSEDPEPE,0.921
DANPEPERIAN,0.252
FRYPEPE,0.63
GODEMPEPE,0.619
GRNDMSTRPEPE,0.747
HELOPEPE,0.593
KOJIPEPE,0.417
LITTLEBOPEPE,0.785
MONBOURARNO,0.469
PEPECHE,0.704
PEPEDUCREUX,0.828
PEPEGIGA,0.562
PEPEKEN,0.402
PEPEMINT,0.821
PEPEPEANUTS,0.511
PEPESMURF,0.308
PEPETHESOG,0.529
PEPEZOMBIE,0.628
RAREPEPEFONZ,0.946
RUNDMP,0.579
SENPAIPEPE,0.923
SEVENBITPEPE,0.4
SLENDERPEPE,0.727
SNOTPEPE,0.793
UNCLEPEPE,0.745
