,Date,Volume sold
0,2022-06,7365.3221
1,2022-05,17941.906945959996
2,2022-04,21178.91018545
3,2022-03,99906.87398359431
4,2022-02,125832.57640165996
5,2022-01,244846.01431916843
6,2021-12,41704.36306187771
7,2021-11,281148.07188924286
8,2021-10,329145.4004640237
9,2021-09,1063695.7171443605
10,2021-08,1161359.648680401
11,2021-07,389975.07897931937
12,2021-06,28447.8049682699
13,2021-05,79802.73673520966
14,2021-04,28373.729117407
15,2021-03,109350.81023904329
16,2021-02,114.515725
17,2021-01,161.55212799
18,2020-12,2.71
19,2020-11,247.66161617000003
20,2020-10,105.93525947
21,2020-09,11352.16269678
22,2020-08,113.82
23,2020-07,78.59
24,2020-06,18.97
25,2020-05,50.135000000000005
26,2020-04,1011.2775451699999
27,2020-03,62.33
28,2020-02,55.717600000000004
29,2020-01,192.41
30,2019-12,16.259999999999998
31,2019-11,327.79250856
32,2019-10,108.4
33,2019-09,27.1
34,2019-08,948.4999999999998
35,2019-07,119.24
36,2019-06,279.1571000271
37,2019-05,293.2491
38,2019-04,328.31649999999996
39,2019-03,35.230000000000004
40,2019-02,201.89499999999998
41,2019-01,162.6
42,2018-12,10.84
43,2018-11,37.940000000000005
44,2018-10,18.2925
45,2018-09,5.42
46,2018-08,35.13966666666667
47,2018-07,82.49239999999999
48,2018-06,25.148799999999998
49,2018-05,67.3164
50,2018-04,547.0002752
51,2018-03,680.0153316486003
52,2018-02,188.75149999999996
53,2018-01,217.01056699999998
54,2017-12,995.34777
55,2017-11,200.31507
56,2017-10,240.76289315999995
57,2017-09,1214.8984199186998
58,2017-08,954.1232500000002
59,2017-07,5656.713983324303
60,2017-06,1452.817720972901
61,2017-05,2811.5825734324017
62,2017-04,3524.327358027105
63,2017-03,2887.258390027103
64,2017-02,9846.610173862065
65,2017-01,6425.239540972873
66,2016-12,2143.465213561701
67,2016-11,1998.2853670492912
68,2016-10,6428.739358006893
69,2016-09,3175.209765227099
