,Name,gini
0,BADWISHES,0.628
1,BAPEPE,0.062
2,BARBARIANPEP,0.457
3,BARRYPEPE,0.135
4,BEETLEPEPE,0.43
5,BITCOINPEPE,0.349
6,BLAINEPEPE,0.193
7,BLINGBLING,0.607
8,BOFPEPE,0.536
9,BONDPEPE,0.54
10,BOYSCLUBPEPE,0.166
11,BTCPEPE,0.41
12,CANTDRAWPEPE,0.464
13,CARTOONPEPE,0.539
14,CERSEIPEPE,0.623
15,CHEECHPEPE,0.33
16,CHERPEPEFOIL,0.566
17,CHERRYONTOP,0.599
18,CHIKUNPEPE,0.399
19,CHONGPEPE,0.376
20,CHUWAPEPE,0.708
21,CIRCLEOFPEPE,0.497
22,CLUBSPEPE,0.528
23,COBAINPEPE,0.265
24,CREMAPEPE,0.369
25,CRYPTOPEPES,0.598
26,CYBERPEP,0.653
27,DANPEPERIAN,0.258
28,DAPPERPEPE,0.301
29,DARKPILLPEPE,0.068
30,DASHPEPE,0.162
31,DATPEPE,0.52
32,DEXTERPEPE,0.102
33,DIAMONDSPEPE,0.563
34,DIERCHANCHU,0.458
35,DOGGYPUTIN,0.0
36,DRATHPEPE,0.615
37,DUMBLEPEPE,0.609
38,EINSTEINPEPE,0.368
39,EMPERORPEPE,0.582
40,EYEOFTHEPEPE,0.0
41,FIREASSPEPE,0.207
42,FLUFFYPEPES,0.481
43,FRACTALPEPE,0.238
44,FREEMYPEPE,0.382
45,FREETIBETPP,0.55
46,FSBPUTINPEPE,0.0
47,GADGETPEPE,0.488
48,GAINSPEPE,0.684
49,GAMBITPEPE,0.625
50,GODEMPEPE,0.619
51,GOSPELPEPE,0.583
52,GUNSNPEPES,0.439
53,HANPEPE,0.571
54,HARRYPEPES,0.589
55,HELOPEPE,0.597
56,HIPPIEPEPE,0.332
57,HISTORICPEPE,0.584
58,HYPNOPEPE,0.25
59,ILUMINATRARE,0.422
60,INCREDIEPEPE,0.668
61,JACKOPEPE,0.468
62,JALAPEPE,0.314
