,Price_Level,Date_Index
0,0.0,2016-01
1,0.0,2016-02
2,0.0,2016-03
3,0.0,2016-04
4,0.0,2016-05
5,0.0,2016-06
6,0.0,2016-07
7,0.0,2016-08
8,0.0,2016-09
9,9.555,2016-10
10,10.92,2016-11
11,10.92,2016-12
12,54.6,2017-01
13,54.6,2017-02
14,27.3,2017-03
15,27.3,2017-04
16,27.3,2017-05
17,27.3,2017-06
18,40.95,2017-07
19,40.95,2017-08
20,40.95,2017-09
21,40.95,2017-10
22,40.95,2017-11
23,40.95,2017-12
24,40.95,2018-01
25,40.95,2018-02
26,40.95,2018-03
27,40.95,2018-04
28,40.95,2018-05
29,40.95,2018-06
30,40.95,2018-07
31,40.95,2018-08
32,40.95,2018-09
33,40.95,2018-10
34,40.95,2018-11
35,40.95,2018-12
36,40.95,2019-01
37,40.95,2019-02
38,40.95,2019-03
39,40.95,2019-04
40,40.95,2019-05
41,40.95,2019-06
42,40.95,2019-07
43,40.95,2019-08
44,40.95,2019-09
45,40.95,2019-10
46,40.95,2019-11
47,40.95,2019-12
48,40.95,2020-01
49,40.95,2020-02
50,40.95,2020-03
51,40.95,2020-04
52,40.95,2020-05
53,40.95,2020-06
54,40.95,2020-07
55,40.95,2020-08
56,40.95,2020-09
57,40.95,2020-10
58,40.95,2020-11
59,40.95,2020-12
60,40.95,2021-01
61,40.95,2021-02
62,9793.35,2021-03
63,9793.35,2021-04
64,9793.35,2021-05
65,3634.421,2021-06
66,3634.421,2021-07
67,3634.421,2021-08
68,3634.421,2021-09
69,3634.421,2021-10
70,2732.73,2021-11
71,2732.73,2021-12
72,2732.73,2022-01
73,2732.73,2022-02
74,2732.73,2022-03
75,2732.73,2022-04
76,2732.73,2022-05
77,0.0,2016-01
78,0.0,2016-02
79,0.0,2016-03
80,0.0,2016-04
81,0.0,2016-05
82,0.0,2016-06
83,0.0,2016-07
84,0.0,2016-08
85,0.0,2016-09
86,0.0,2016-10
87,0.0,2016-11
88,0.0,2016-12
89,0.0,2017-01
90,0.0,2017-02
91,0.0,2017-03
92,2.73,2017-04
93,2.73,2017-05
94,2.73,2017-06
95,2.73,2017-07
96,2.73,2017-08
97,2.73,2017-09
98,1.365,2017-10
99,1.365,2017-11
100,1.365,2017-12
101,1.365,2018-01
102,1.365,2018-02
103,1.365,2018-03
104,1.365,2018-04
105,1.365,2018-05
106,1.365,2018-06
107,1.365,2018-07
108,1.365,2018-08
109,1.365,2018-09
110,1.365,2018-10
111,1.365,2018-11
112,1.365,2018-12
113,1.365,2019-01
114,1.365,2019-02
115,1.365,2019-03
116,1.365,2019-04
117,1.365,2019-05
