Date_Index,Price_Level
2016-09,24080.430647733905
2016-10,96285.71355418852
2016-11,114767.32379478967
2016-12,150776.19432799108
2017-01,239373.20859812995
2017-02,373972.86280955945
2017-03,461752.33446531376
2017-04,498084.2322941538
2017-05,536225.2520853931
2017-06,524000.6847088878
2017-07,713161.8597198718
2017-08,681760.0503484432
2017-09,662929.8935898031
2017-10,668217.5191898032
2017-11,657898.9843098031
2017-12,661515.0819604165
2018-01,669795.0135604165
2018-02,674864.3682270831
2018-03,696222.8021522565
2018-04,722388.2827922566
2018-05,720061.0134684165
2018-06,722327.8614684165
2018-07,720279.1139484165
2018-08,720693.6872817498
2018-09,720920.1272817499
2018-10,720362.5272817499
2018-11,720668.9806150831
2018-12,721121.8606150831
2019-01,721121.8606150831
2019-02,721104.1806150832
2019-03,719430.5646150832
2019-04,729332.7647674641
2019-05,736502.8661007974
2019-06,737185.5861089574
2019-07,741537.5861089574
2019-08,899507.3887674642
2019-09,907993.7887674641
2019-10,913270.5887674642
2019-11,954029.7164974641
2019-12,954029.7164974641
2020-01,959469.7164974641
2020-02,964545.7532974641
2020-03,964885.7532974641
2020-04,1009819.4662974641
2020-05,1010363.4662974641
2020-06,1010363.4662974641
2020-07,1016075.4662974641
2020-08,1020155.4662988242
2020-09,4011144.666298824
2020-10,4015157.694808824
2020-11,4030229.905721824
2020-12,4030229.905721824
2021-01,4032296.7623591446
2021-02,4043937.1423591445
2021-03,4329514.818869908
2021-04,6269890.363691293
2021-05,8844115.47168628
2021-06,8908276.032024484
2021-07,14495040.039674958
2021-08,39835983.82991008
2021-09,60482486.36285704
2021-10,60889657.62462395
2021-11,62598654.42867082
2021-12,62738080.41370528
2022-01,69361541.57420346
2022-02,68663070.62566374
2022-03,68127967.56376551
2022-04,68439777.29841329
2022-05,68748350.69372904
2022-06,67617915.39964572
