Name,gini
BABERUTHPEPE,0.63
BADWISHES,0.608
BEAUTYPEPE,0.882
BODYBACKPEPE,0.49
CARLOSPEPE,0.865
CHUWAPEPE,0.703
COBAINPEPE,0.265
FFFFFFFFFFFF,0.75
FORKPEPE,0.705
GROYPERDB,0.776
HODLPEPECASH,0.61
JUDYPEPE,0.552
KEKFURY,0.776
KEKMONTECRLO,0.683
MARGINED,0.724
MURASAKIPEPE,0.691
OROCHIPEPE,0.606
PECTERIA,0.785
PEPEAFRIKEK,0.809
PEPECAGE,0.708
PEPECART,0.447
PEPEDICK,0.897
PEPEGRAFFITI,0.43
PEPEKUN,0.789
PEPEMIND,0.723
PEPEMUACK,0.688
PEPEPRINT,0.797
PEPERCULESS,0.908
PEPEROOTS,0.471
PEPETHOR,0.897
PEPETOBI,0.305
PEPETOULLE,0.91
PEPEVYPER,0.604
PUFFPEPE,0.626
RAOULDUKEPEP,0.542
RAREQUEEM,0.614
ROADMAPEPE,0.822
STORMYTRUMP,0.793
WAYPEPE,0.605
