Name,x,points
,0.0,0.0
,0.2,0.06756756756756757
,0.4,0.13513513513513514
,0.6,0.20270270270270271
,0.8,0.2702702702702703
,1.0,1.0
,0.0,0.0
,0.2,0.16666666666666666
,0.4,0.3333333333333333
,0.6,0.5
,0.8,0.6666666666666666
,1.0,1.0
,0.0,0.0
,0.2,0.07317073170731707
,0.4,0.14634146341463414
,0.6,0.21951219512195122
,0.8,0.2961672473867596
,1.0,1.0
,0.0,0.0
,0.2,0.03621730382293763
,0.4,0.07243460764587525
,0.6,0.10865191146881288
,0.8,0.1529175050301811
,1.0,1.0
,0.0,0.0
,0.2,0.0707070707070707
,0.4,0.1414141414141414
,0.6,0.21212121212121213
,0.8,0.2828282828282828
,1.0,1.0
,0.0,0.0
,0.2,0.06315789473684211
,0.4,0.12631578947368421
,0.6,0.18947368421052632
,0.8,0.25263157894736843
,1.0,1.0
,0.0,0.0
,0.2,0.02962962962962963
,0.4,0.05925925925925926
,0.6,0.08888888888888889
,0.8,0.13333333333333333
,1.0,1.0
,0.0,0.0
,0.2,0.035140562248995984
,0.4,0.07028112449799197
,0.6,0.10542168674698796
,0.8,0.14156626506024098
,1.0,1.0
,0.0,0.0
,0.2,0.2
,0.4,0.4
,0.6,0.6
,0.8,0.8
,1.0,1.0
,0.0,0.0
,0.2,0.08247422680412371
,0.4,0.16494845360824742
,0.6,0.24742268041237114
,0.8,0.36082474226804123
,1.0,1.0
,0.0,0.0
,0.2,0.06315789473684211
,0.4,0.12631578947368421
,0.6,0.18947368421052632
,0.8,0.25263157894736843
,1.0,1.0
,0.0,0.0
,0.2,0.19047619047619047
,0.4,0.38095238095238093
,0.6,0.5714285714285714
,0.8,0.7619047619047619
,1.0,1.0
,0.0,0.0
,0.2,0.06201550387596899
,0.4,0.12403100775193798
,0.6,0.18604651162790697
,0.8,0.24806201550387597
,1.0,1.0
,0.0,0.0
,0.2,0.14678899082568808
,0.4,0.29357798165137616
,0.6,0.44036697247706424
,0.8,0.5871559633027523
,1.0,1.0
,0.0,0.0
,0.2,0.026052104208416832
,0.4,0.052104208416833664
,0.6,0.0781563126252505
,0.8,0.1282565130260521
,1.0,1.0
,0.0,0.0
,0.2,0.04157043879907621
,0.4,0.08314087759815242
,0.6,0.12471131639722864
,0.8,0.19861431870669746
,1.0,1.0
,0.0,0.0
,0.2,0.07738095238095238
,0.4,0.15476190476190477
,0.6,0.23214285714285715
,0.8,0.30952380952380953
,1.0,1.0
,0.0,0.0
,0.2,0.05
,0.4,0.1
,0.6,0.15
,0.8,0.22
,1.0,1.0
,0.0,0.0
,0.2,0.06329113924050633
,0.4,0.12658227848101267
,0.6,0.189873417721519
,0.8,0.25316455696202533
,1.0,1.0
,0.0,0.0
,0.2,0.07333333333333333
,0.4,0.14666666666666667
,0.6,0.22
,0.8,0.3
,1.0,1.0
,0.0,0.0
,0.2,0.030405405405405407
,0.4,0.060810810810810814
,0.6,0.09121621621621621
,0.8,0.12162162162162163
,1.0,1.0
,0.0,0.0
,0.2,0.014198782961460446
,0.4,0.028397565922920892
,0.6,0.04259634888438134
,0.8,0.07302231237322515
,1.0,1.0
,0.0,0.0
,0.2,0.10204081632653061
,0.4,0.20408163265306123
,0.6,0.30612244897959184
,0.8,0.40816326530612246
,1.0,1.0
,0.0,0.0
,0.2,0.09606986899563319
,0.4,0.19213973799126638
,0.6,0.28820960698689957
,0.8,0.4497816593886463
,1.0,1.0
,0.0,0.0
,0.2,0.10185185185185185
,0.4,0.2037037037037037
,0.6,0.3055555555555556
,0.8,0.4166666666666667
,1.0,1.0
,0.0,0.0
,0.2,0.05
,0.4,0.1
,0.6,0.15
,0.8,0.2
,1.0,1.0
,0.0,0.0
,0.2,0.060810810810810814
,0.4,0.12162162162162163
,0.6,0.18243243243243243
,0.8,0.25
,1.0,1.0
,0.0,0.0
,0.2,0.00778642936596218
,0.4,0.01557285873192436
,0.6,0.02335928809788654
,0.8,0.03225806451612903
,1.0,1.0
,0.0,0.0
,0.2,0.075
,0.4,0.15
,0.6,0.225
,0.8,0.31666666666666665
,1.0,1.0
,0.0,0.0
,0.2,0.031496062992125984
,0.4,0.06299212598425197
,0.6,0.09448818897637795
,0.8,0.12992125984251968
,1.0,1.0
,0.0,0.0
,0.2,0.2
,0.4,0.4
,0.6,0.6
,0.8,0.8
,1.0,1.0
,0.0,0.0
,0.2,0.12371134020618557
,0.4,0.24742268041237114
,0.6,0.3711340206185567
,0.8,0.4948453608247423
,1.0,1.0
,0.0,0.0
,0.2,0.16666666666666666
,0.4,0.3333333333333333
,0.6,0.5
,0.8,0.6666666666666666
,1.0,1.0
,0.0,0.0
,0.2,0.07142857142857142
,0.4,0.14285714285714285
,0.6,0.21428571428571427
,0.8,0.30612244897959184
,1.0,1.0
,0.0,0.0
,0.2,0.030120481927710843
,0.4,0.060240963855421686
,0.6,0.09036144578313253
,0.8,0.12048192771084337
,1.0,1.0
,0.0,0.0
,0.2,0.005479452054794521
,0.4,0.010958904109589041
,0.6,0.01643835616438356
,0.8,0.021917808219178082
,1.0,1.0
,0.0,0.0
,0.2,0.02404809619238477
,0.4,0.04809619238476954
,0.6,0.07214428857715431
,0.8,0.09619238476953908
,1.0,1.0
,0.0,0.0
,0.2,0.08490566037735849
,0.4,0.16981132075471697
,0.6,0.25471698113207547
,0.8,0.36792452830188677
,1.0,1.0
,0.0,0.0
,0.2,0.09
,0.4,0.18
,0.6,0.27
,0.8,0.37
,1.0,1.0
,0.0,0.0
,0.2,0.04081632653061224
,0.4,0.08163265306122448
,0.6,0.12244897959183673
,0.8,0.1836734693877551
,1.0,1.0
,0.0,0.0
,0.2,0.2
,0.4,0.4
,0.6,0.6
,0.8,0.8
,1.0,1.0
,0.0,0.0
,0.2,0.08080808080808081
,0.4,0.16161616161616163
,0.6,0.24242424242424243
,0.8,0.32323232323232326
,1.0,1.0
,0.0,0.0
,0.2,0.04406779661016949
,0.4,0.08813559322033898
,0.6,0.13220338983050847
,0.8,0.18305084745762712
,1.0,1.0
,0.0,0.0
,0.2,0.1111111111111111
,0.4,0.2222222222222222
,0.6,0.3333333333333333
,0.8,0.46296296296296297
,1.0,1.0
,0.0,0.0
,0.2,0.16326530612244897
,0.4,0.32653061224489793
,0.6,0.4897959183673469
,0.8,0.6530612244897959
,1.0,1.0
,0.0,0.0
,0.2,0.11788617886178862
,0.4,0.23577235772357724
,0.6,0.35365853658536583
,0.8,0.4715447154471545
,1.0,1.0
,0.0,0.0
,0.2,0.03840245775729647
,0.4,0.07680491551459294
,0.6,0.1152073732718894
,0.8,0.2012288786482335
,1.0,1.0
,0.0,0.0
,0.2,0.02
,0.4,0.04
,0.6,0.06
,0.8,0.08
,1.0,1.0
,0.0,0.0
,0.2,0.10526315789473684
,0.4,0.21052631578947367
,0.6,0.3157894736842105
,0.8,0.4421052631578947
,1.0,1.0
,0.0,0.0
,0.2,0.020134228187919462
,0.4,0.040268456375838924
,0.6,0.06040268456375839
,0.8,0.087248322147651
,1.0,1.0
,0.0,0.0
,0.2,0.04040404040404041
,0.4,0.08080808080808081
,0.6,0.12121212121212122
,0.8,0.16161616161616163
,1.0,1.0
,0.0,0.0
,0.2,0.02512562814070352
,0.4,0.05025125628140704
,0.6,0.07537688442211055
,0.8,0.10050251256281408
,1.0,1.0
,0.0,0.0
,0.2,0.030165912518853696
,0.4,0.06033182503770739
,0.6,0.09049773755656108
,0.8,0.1297134238310709
,1.0,1.0
,0.0,0.0
,0.2,0.021021021021021023
,0.4,0.042042042042042045
,0.6,0.06306306306306306
,0.8,0.1041041041041041
,1.0,1.0
,0.0,0.0
,0.2,0.002197802197802198
,0.4,0.004395604395604396
