Name,gini
BONDPEPE,0.545
DALIPEPE,0.791
FUNPEPE,0.792
GOSPELPEPE,0.583
JOELOONEYBIN,0.562
KEKET,0.422
KUNISADAPEPE,0.8
MATADORPEPE,0.794
MONTYPEPE,0.526
MYRIADMPEPE,0.776
PEPEHELP,0.853
PEPEJIRAIYA,0.759
PEPELAND,0.861
PEPELENNON,0.787
PEPEMARAUDER,0.711
PEPENUMA,0.485
PEPERICH,0.284
PEPESITO,0.671
PEPETANGCLAN,0.743
PICASSOPEPE,0.801
PWAPWAPWAPWA,0.722
RELATEPEPE,0.392
RELAXPEPE,0.301
RPCAGENT,0.841
SAMURAIPEPE,0.64
SURFINGPEPE,0.797
TRUMPEPE,0.386
VANGOUGHPEPE,0.802
WHEELOFPEPE,0.812
XMASANTAPEPE,0.168
