,Name,x,points
0,,0.0,0.0
1,,0.2,0.10309278350515463
2,,0.4,0.20618556701030927
3,,0.6,0.30927835051546393
4,,0.8,0.41237113402061853
5,,1.0,1.0
6,,0.0,0.0
7,,0.2,0.0
8,,0.4,0.0
9,,0.6,0.0
10,,0.8,0.0
11,,1.0,1.0
12,,0.0,0.0
13,,0.2,0.3333333333333333
14,,0.4,0.6666666666666666
15,,0.6,1.0
16,,0.8,1.0
17,,1.0,1.0
18,,0.0,0.0
19,,0.2,0.18181818181818182
20,,0.4,0.36363636363636365
21,,0.6,0.5454545454545454
22,,0.8,0.7272727272727273
23,,1.0,1.0
24,,0.0,0.0
25,,0.2,0.16666666666666666
26,,0.4,0.3333333333333333
27,,0.6,0.5
28,,0.8,0.6666666666666666
29,,1.0,1.0
30,,0.0,0.0
31,,0.2,0.18518518518518517
32,,0.4,0.37037037037037035
33,,0.6,0.5555555555555556
34,,0.8,0.7407407407407407
35,,1.0,1.0
36,,0.0,0.0
37,,0.2,0.07142857142857142
38,,0.4,0.14285714285714285
39,,0.6,0.21428571428571427
40,,0.8,0.2857142857142857
41,,1.0,1.0
42,,0.0,0.0
43,,0.2,0.08
44,,0.4,0.16
45,,0.6,0.24
46,,0.8,0.32
47,,1.0,1.0
48,,0.0,0.0
49,,0.2,0.1774193548387097
50,,0.4,0.3548387096774194
51,,0.6,0.532258064516129
52,,0.8,0.7096774193548387
53,,1.0,1.0
54,,0.0,0.0
55,,0.2,0.05154639175257732
56,,0.4,0.10309278350515463
57,,0.6,0.15463917525773196
58,,0.8,0.20618556701030927
59,,1.0,1.0
60,,0.0,0.0
61,,0.2,0.09090909090909091
62,,0.4,0.18181818181818182
63,,0.6,0.2727272727272727
64,,0.8,0.36363636363636365
65,,1.0,1.0
66,,0.0,0.0
67,,0.2,4.733006145713808e-06
68,,0.4,0.03123763296922602
69,,0.6,0.2567702093856608
70,,0.8,0.4823027858020956
71,,1.0,1.0
72,,0.0,0.0
73,,0.2,0.10416666666666667
74,,0.4,0.20833333333333334
75,,0.6,0.3125
76,,0.8,0.4791666666666667
77,,1.0,1.0
78,,0.0,0.0
79,,0.2,0.0
80,,0.4,0.0
81,,0.6,0.0
82,,0.8,0.0
83,,1.0,1.0
84,,0.0,0.0
85,,0.2,0.0
86,,0.4,0.0
87,,0.6,0.0
88,,0.8,0.0
89,,1.0,1.0
90,,0.0,0.0
91,,0.2,0.0
92,,0.4,0.0
93,,0.6,0.0
94,,0.8,0.0
95,,1.0,1.0
96,,0.0,0.0
97,,0.2,0.25
98,,0.4,0.5
99,,0.6,0.75
100,,0.8,1.0
101,,1.0,1.0
102,,0.0,0.0
103,,0.2,0.14285714285714285
104,,0.4,0.2857142857142857
105,,0.6,0.42857142857142855
106,,0.8,0.5714285714285714
107,,1.0,1.0
108,,0.0,0.0
109,,0.2,0.2222222222222222
110,,0.4,0.4444444444444444
111,,0.6,0.6666666666666666
112,,0.8,0.8888888888888888
113,,1.0,1.0
114,,0.0,0.0
115,,0.2,0.2
116,,0.4,0.4
117,,0.6,0.6
118,,0.8,0.8
119,,1.0,1.0
120,,0.0,0.0
121,,0.2,0.2
122,,0.4,0.4
123,,0.6,0.6
124,,0.8,0.8
125,,1.0,1.0
126,,0.0,0.0
127,,0.2,0.1
128,,0.4,0.2
129,,0.6,0.3
130,,0.8,1.0
131,,1.0,1.0
132,,0.0,0.0
133,,0.2,0.2222222222222222
134,,0.4,0.4444444444444444
135,,0.6,0.6666666666666666
136,,0.8,0.8888888888888888
137,,1.0,1.0
138,,0.0,0.0
139,,0.2,0.2
140,,0.4,0.4
141,,0.6,0.6
142,,0.8,0.8
143,,1.0,1.0
144,,0.0,0.0
145,,0.2,0.1
146,,0.4,0.2
147,,0.6,0.3
148,,0.8,0.5
149,,1.0,1.0
150,,0.0,0.0
151,,0.2,0.19047619047619047
152,,0.4,0.38095238095238093
153,,0.6,0.5714285714285714
154,,0.8,0.7619047619047619
155,,1.0,1.0
156,,0.0,0.0
157,,0.2,0.16666666666666666
158,,0.4,0.3333333333333333
159,,0.6,0.5
160,,0.8,0.6666666666666666
161,,1.0,1.0
162,,0.0,0.0
163,,0.2,0.16666666666666666
164,,0.4,0.3333333333333333
165,,0.6,0.5
166,,0.8,0.7083333333333334
167,,1.0,1.0
168,,0.0,0.0
169,,0.2,0.16666666666666666
170,,0.4,0.3333333333333333
171,,0.6,0.5
172,,0.8,0.6666666666666666
173,,1.0,1.0
174,,0.0,0.0
175,,0.2,0.16666666666666666
176,,0.4,0.3333333333333333
177,,0.6,0.5
178,,0.8,0.6666666666666666
179,,1.0,1.0
180,,0.0,0.0
181,,0.2,0.2
182,,0.4,0.4
183,,0.6,0.6
184,,0.8,0.8
185,,1.0,1.0
186,,0.0,0.0
187,,0.2,0.16666666666666666
188,,0.4,0.3333333333333333
189,,0.6,0.5
190,,0.8,0.6666666666666666
191,,1.0,1.0
192,,0.0,0.0
193,,0.2,0.08888888888888889
194,,0.4,0.17777777777777778
195,,0.6,0.26666666666666666
196,,0.8,0.4
197,,1.0,1.0
198,,0.0,0.0
199,,0.2,0.16666666666666666
200,,0.4,0.3333333333333333
201,,0.6,0.5
202,,0.8,0.6666666666666666
203,,1.0,1.0
204,,0.0,0.0
205,,0.2,0.16666666666666666
206,,0.4,0.3333333333333333
207,,0.6,0.5
208,,0.8,0.6666666666666666
209,,1.0,1.0
210,,0.0,0.0
211,,0.2,0.17777777777777778
212,,0.4,0.35555555555555557
213,,0.6,0.5333333333333333
214,,0.8,0.7111111111111111
215,,1.0,1.0
216,,0.0,0.0
217,,0.2,0.10416666666666667
218,,0.4,0.20833333333333334
219,,0.6,0.3125
220,,0.8,0.4375
221,,1.0,1.0
222,,0.0,0.0
223,,0.2,0.08247422680412371
224,,0.4,0.16494845360824742
225,,0.6,0.24742268041237114
226,,0.8,0.32989690721649484
227,,1.0,1.0
228,,0.0,0.0
229,,0.2,0.13131313131313133
230,,0.4,0.26262626262626265
231,,0.6,0.3939393939393939
232,,0.8,0.5252525252525253
233,,1.0,1.0
234,,0.0,0.0
235,,0.2,0.07142857142857142
236,,0.4,0.14285714285714285
237,,0.6,0.21428571428571427
238,,0.8,0.29591836734693877
239,,1.0,1.0
240,,0.0,0.0
241,,0.2,0.1111111111111111
242,,0.4,0.2222222222222222
243,,0.6,0.3333333333333333
244,,0.8,0.4444444444444444
245,,1.0,1.0
246,,0.0,0.0
247,,0.2,0.1
248,,0.4,0.2
249,,0.6,0.3
250,,0.8,0.42
251,,1.0,1.0
252,,0.0,0.0
253,,0.2,0.2
254,,0.4,0.4
255,,0.6,0.6
256,,0.8,0.8
257,,1.0,1.0
258,,0.0,0.0
259,,0.2,0.0
260,,0.4,0.0
261,,0.6,0.0
262,,0.8,0.0
263,,1.0,1.0
264,,0.0,0.0
265,,0.2,0.0
266,,0.4,0.0
267,,0.6,0.0
268,,0.8,0.0
269,,1.0,1.0
270,,0.0,0.0
271,,0.2,0.0
272,,0.4,0.0
273,,0.6,0.0
274,,0.8,0.0
275,,1.0,1.0
276,,0.0,0.0
277,,0.2,0.0
278,,0.4,0.0
279,,0.6,0.0
280,,0.8,0.0
281,,1.0,1.0
282,,0.0,0.0
283,,0.2,0.0
284,,0.4,0.0
285,,0.6,0.0
286,,0.8,0.0
287,,1.0,1.0
288,,0.0,0.0
289,,0.2,0.3333333333333333
290,,0.4,0.6666666666666666
291,,0.6,1.0
292,,0.8,1.0
293,,1.0,1.0
294,,0.0,0.0
295,,0.2,0.2
296,,0.4,0.4
297,,0.6,0.6
298,,0.8,0.8
299,,1.0,1.0
300,,0.0,0.0
301,,0.2,0.2
302,,0.4,0.4
303,,0.6,0.6
304,,0.8,0.8
305,,1.0,1.0
306,,0.0,0.0
307,,0.2,0.14285714285714285
308,,0.4,0.2857142857142857
309,,0.6,0.42857142857142855
310,,0.8,0.5714285714285714
311,,1.0,1.0
312,,0.0,0.0
313,,0.2,0.25
314,,0.4,0.5
315,,0.6,0.75
316,,0.8,1.0
317,,1.0,1.0
318,,0.0,0.0
319,,0.2,0.25
320,,0.4,0.5
321,,0.6,0.75
322,,0.8,1.0
323,,1.0,1.0
324,,0.0,0.0
325,,0.2,0.25
326,,0.4,0.5
327,,0.6,0.75
328,,0.8,1.0
329,,1.0,1.0
330,,0.0,0.0
331,,0.2,0.25
