Date_Index,Price_Level
2016-09,127.42223727824175
2016-10,485.3500516676322
2016-11,540.8633270457523
2016-12,708.5268299447345
2017-01,1124.6342828189254
2017-02,1754.9492687792208
2017-03,2142.951681766234
2017-04,2395.1512817662338
2017-05,2550.707948432134
2017-06,2880.803948432134
2017-07,4171.371771584416
2017-08,4178.916428727272
2017-09,4102.3986487134725
2017-10,4111.325868713473
2017-11,4045.9138687134728
2017-12,4211.044668713473
2018-01,4222.230120713472
2018-02,4039.3341207134727
2018-03,4055.0742780406727
2018-04,4094.2528092406724
2018-05,4091.6704919134727
2018-06,4094.2234919134726
2018-07,4086.4678643134725
2018-08,4086.9278643134726
2018-09,4086.9278643134726
2018-10,4085.4098643134726
2018-11,4085.4098643134726
2018-12,4085.4098643134726
2019-01,4085.4098643134726
2019-02,4081.2698643134727
2019-03,4075.7498643134727
2019-04,4083.270864313473
2019-05,4126.952464313473
2019-06,4125.600064313473
2019-07,4169.760064313473
2019-08,4169.760064313473
2019-09,4169.760064313473
2019-10,4169.760064313473
2019-11,4169.760064313473
2019-12,4169.760064313473
2020-01,4169.760064313473
2020-02,4169.760064313473
2020-03,4169.760064313473
2020-04,4169.760064313473
2020-05,4175.280064313472
2020-06,4175.280064313472
2020-07,4175.280064313472
2020-08,4216.680064327273
2020-09,4216.680064327273
2020-10,4208.400064327273
2020-11,4272.860889337273
2020-12,4272.860889337273
2021-01,4272.860889337273
2021-02,4359.753489337272
2021-03,13847.938016116272
2021-04,15640.415795574605
2021-05,19354.736816574605
2021-06,21124.785613774606
2021-07,35243.62415670061
2021-08,88349.33501606589
2021-09,163595.03501552937
2021-10,187511.57187502304
2021-11,309269.5435108949
2021-12,309446.9105219507
2022-01,323516.12807542057
2022-02,334762.02447168424
2022-03,326524.6994527232
2022-04,326524.415737579
2022-05,327181.13216966926
2022-06,327391.05706966924
