Name,gini
JOLIELEGPEPE,0.461
KRUEGERPEPE,0.734
KUNAIKEK,0.809
LILROCKETMAN,0.806
MATRYOSHKAPP,0.82
PEBBLEE,0.726
PENNYPEPE,0.525
PEPALISA,0.085
PEPCASSO,0.322
PEPEADDICTS,0.7
PEPEAVENGER,0.62
PEPEELITE,0.722
PEPEFARMER,0.731
PEPEGROYA,0.717
PEPELIBRIUM,0.415
PEPENAUT,0.558
PEPENDRIX,0.746
PEPENICTESLA,0.612
PEPEPEEPS,0.861
PEPERELOADED,0.721
PEPEREME,0.625
PYJAMASPEPE,0.809
RANGOPEPE,0.615
RAREZOMBIE,0.559
SEDUSAPEP,0.649
SHAKAPEPE,0.803
SNOWMANPEPE,0.776
THELAWNMOWER,0.762
TWOWEEKSPEPE,0.66
UBUNTUPEPE,0.692
UNDEADPEPE,0.841
WORLDPEPEHD,0.648
XIPEPE,0.902
YODAPEP,0.638
ZAZENPEPE,0.795
