Name,gini
BAPEPE,0.062
BOMINABLPEPE,0.0
CHYNAPEPE,0.226
CIRCLEOFPEPE,0.497
DOGGYPUTIN,0.0
DRATHPEPE,0.619
EINSTEINPEPE,0.367
FOLDERPEPE,0.48
FSBPUTINPEPE,0.0
INCREDIEPEPE,0.668
JACKPOTPEPE,0.621
JALAPEPE,0.317
JESUSPEPE,0.089
MARVINPEPE,0.27
MOONPEPE,0.49
NEONPEPE,0.469
NOFUCKSPUTIN,0.0
PEPECOUNTER,0.227
PEPEGOAT,0.352
PEPEKONGBIGM,0.6
PEPEMILLION,0.0
PEPEPHONEHOM,0.392
PEPERMIND,0.402
PRIVATEPEPE,0.652
PTSDPEPE,0.806
PUTINPEPE,0.0
RAIRPEPE,0.611
RAREPEPESS,0.435
REPOPEPE,0.593
RGBPEPE,0.748
RPEPEARMANDO,0.683
SALTANDPEPE,0.626
SANDWICHPEPE,0.204
SMUGGLASSES,0.186
TECHNOPEPE,0.317
TENPINPUTIN,0.0
TSUPEPE,0.229
TUXPEPE,0.658
