,Name,gini
203,PEPEBURN,0.792
204,PEPERARE,0.227
205,SECURITYPEPE,0.298
206,WHERESPEPE,0.0
207,PEPETHEFIRST,0.682
208,PEPEHORROR,0.602
209,PEPEVOORHEES,0.564
210,COMEDYPEPE,0.664
211,PEPECENT,0.499
212,GAINSPEPE,0.684
213,SHININGPEPE,0.452
214,PEPA,0.631
215,ULTRAPEPE,0.554
216,NEOPEPE,0.406
217,PEPETUITY,0.545
218,ZZZZPEPE,0.505
219,PEPETIME,0.363
220,PEPEMANE,0.556
221,PEPERACCOON,0.531
222,PEPETODAMOON,0.384
223,SGTPEPE,0.831
224,MAOISMPEPE,0.775
225,PEPECAMO,0.666
226,BREATHEDPEPE,0.358
227,PEPETHUGLIFE,0.492
228,SIXTYSIXPEPE,0.85
229,PEPEARTISTE,0.805
230,ILOVEPEPE,0.802
231,PEPEMARAUDER,0.715
232,RELAXPEPE,0.301
233,MATADORPEPE,0.794
234,GOSPELPEPE,0.583
235,RELATEPEPE,0.39
236,BONDPEPE,0.54
237,MONTYPEPE,0.538
238,KEKET,0.422
239,PICASSOPEPE,0.801
240,PEPENUMA,0.485
241,VANGOUGHPEPE,0.802
242,MATISSEPEPE,0.797
243,DALIPEPE,0.791
244,PEPEJIRAIYA,0.759
245,MIROPEPE,0.8
246,JOELOONEYBIN,0.562
247,LAUTRECPEPE,0.804
248,SURFINGPEPE,0.797
249,KUNISADAPEPE,0.8
250,XMASANTAPEPE,0.168
251,SECRETPEPE,0.696
252,PEPESITO,0.666
253,TRUMPEPE,0.386
254,PEPERICH,0.283
255,PWAPWAPWAPWA,0.722
256,SAMURAIPEPE,0.64
257,PEPELAND,0.861
258,PEPELENNON,0.787
259,PEPEHELP,0.853
260,MYRIADMPEPE,0.776
261,WHEELOFPEPE,0.809
262,PEPETANGCLAN,0.745
263,FUNPEPE,0.792
264,RPCAGENT,0.84
265,PEPETUNADE,0.666
266,PEPEPOOR,0.579
267,PEPEPSI,0.623
268,PEPEOROCHI,0.733
269,RPEPERAMI,0.795
270,MURICAPEPE,0.646
271,JAKETHEPEPE,0.52
272,TIMEPEPE,0.238
273,LEPEWPEPE,0.763
274,RICHPEPEPOOR,0.734
275,UKIPEPE,0.349
276,MTPEPEMORE,0.503
277,HARRYPEPES,0.589
278,VOLDEPEPE,0.635
279,RADIOPEPE,0.783
280,PEPEHOUSE,0.759
281,RUBBERPEPE,0.389
282,PEPESPACE,0.55
283,STORYPEPE,0.71
284,PEPEMILEY,0.658
285,CUBEPEPE,0.548
286,STEALPEPE,0.716
287,MANDELPEPE,0.747
288,MASTEROFPEPE,0.678
289,MAPEPENEMR,0.803
290,OSKARPEPE,0.817
291,PEPEGANDHI,0.535
292,CICACOINPEPE,0.607
293,DDDPEPE,0.848
294,PREPEDATOR,0.586
295,MAOZEPEPE,0.786
296,BLAINEPEPE,0.193
297,PEPEBRICK,0.252
298,REVOLUCIONAR,0.655
299,PROOFOFPEPE,0.517
300,TAJPEPE,0.41
301,RPDF,0.947
302,BOYSCLUBPEPE,0.166
303,RUBEUSPEPE,0.634
304,DUMBLEPEPE,0.609
305,BTCPEPE,0.41
306,LIKEPEPEBRO,0.288
307,PEPELOU,0.313
308,PEEPHOLEPEPE,0.772
309,PEPEASTRO,0.588
310,VONPEPEHAYEK,0.479
311,SITHLORDPEPE,0.489
312,PEPEALIEN,0.548
313,SUPERMANPEPE,0.382
314,BATMANPEPE,0.23
315,SPIDERMNPEPE,0.387
316,PEPEWEST,0.094
317,SKIINGPEPE,0.616
318,BRIGHTONPEPE,0.841
319,JMPEPEKEYNES,0.73
320,PEPEHUNGRY,0.625
321,PEPECONF,0.827
322,PIGPEPE,0.846
323,THELASTPEPE,0.844
324,PEPECITY,0.731
325,KEKUI,0.227
326,PEPEENEUMAN,0.776
327,FREEMYPEPE,0.382
328,PEPEMARIOLR,0.807
329,PEPEMONROE,0.749
330,CHIKUNPEPE,0.399
331,PEPELAMBO,0.728
332,PEPERIDER,0.675
333,PEPEFATHER,0.693
334,SOCRATESPEPE,0.771
335,PEPEKART,0.637
336,EXCLUPEPE,0.566
337,PEPEBILL,0.555
