Name,gini
BEACHPEPE,0.653
BLOWPEPE,0.861
DAPPERPEPE,0.277
DATPEPE,0.516
FIREASSPEPE,0.207
FRACTALPEPE,0.259
JACKOPEPE,0.464
LISKPPAPPEPE,0.415
LONGNOSEPEPE,0.757
NIGHTSATPEPE,0.781
PEEKABOOPEPE,0.555
PEPEASSANGE,0.454
PEPECOWBELL,0.798
PEPEGREEN,0.523
PEPEJAPAN,0.308
PEPEJOSE,0.522
PEPELEWINSKY,0.878
PEPEMARLEY,0.686
PEPEME,0.905
PEPEMONTOYA,0.675
PEPENORRIS,0.577
PEPESQRPANTS,0.638
PEPESSANGE,0.434
PEPETACO,0.708
PEPETARD,0.809
PEPETRADER,0.386
QUEGUAYPEPE,0.835
QUEPASAPEPE,0.861
RETROPEPE,0.863
REYPEPE,0.6
ROLLINGPEPE,0.375
RPEPEGOJAIL,0.93
SLIMERPEPE,0.842
SUCHSHARE,0.803
THEANCAPEPE,0.562
THEGODPEPE,0.78
THINPEPE,0.846
THISISFINE,0.117
WANTEDPEPE,0.565
