Name,gini
BERLINPEPE,0.712
CEETHREEPEPE,0.924
CUBISTPEPE,0.618
DARKSIDEPEPE,0.804
ENTERTHEPEPE,0.654
MATSURIPEPE,0.631
MYFIRSTPEPE,0.794
PEPEANDSON,0.815
PEPEDJ,0.778
PEPEDROID,0.632
PEPEFRACTAL,0.603
PEPEFUYU,0.512
PEPEHAND,0.479
PEPEHUNTER,0.716
PEPEJEANS,0.877
PEPEOLDTRADE,0.639
PEPEON,0.634
PEPEPENPEN,0.484
PEPEPORTRAIT,0.826
PEPESAKURA,0.767
PEPESPLANET,0.406
PEPEZEUS,0.533
PEPFICTION,0.753
PEPOLLO,0.746
RARECHERRY,0.44
RPBANHAMMER,0.703
RUBIXPEPE,0.768
SPEEDPEPE,0.353
STANPEPEE,0.721
THEPEPENATOR,0.328
TOBIASPEPE,0.673
TOMATOPEPE,0.852
WHOAPEPE,0.401
XCHAINPEPE,0.824
YAMAPEPE,0.375
