Name,gini
BACHELORPEPE,0.107
BARRYPEPE,0.135
BIGVERNPEPE,0.558
BINARYPEPE,0.0
DEXTERPEPE,0.102
EGGPLANTPEPE,0.789
EYEOFTHEPEPE,0.0
GADSDENPEPE,0.788
GRIMPEPE,0.229
HARAMPEPE,0.774
HEISENPEPE,0.723
HILLARYPEPE,0.668
ILLUMINATIPE,0.0
JUNSETHPEPE,0.548
LEOPEPESCAM,0.862
LIAMPEPE,0.291
MORPHEUSPEPE,0.103
OPPPEPE,0.479
PEPEBREEDER,0.175
PEPECASTRO,0.474
PEPECRYSTAL,0.609
PEPEGATES,0.858
PEPELEPEW,0.41
PEPELIBRARY,0.41
PEPEPOWERONE,0.146
PEPEPOWERTWO,0.115
PEPEROSS,0.132
PHEONIXPEPE,0.399
RARECHAVEZ,0.746
RARECOINMEME,0.062
RAREMRROBOT,0.812
SEAMANPEPE,0.695
SELLOUTPEPE,0.0
SONICPEPE,0.508
THEARCHIPEPE,0.437
THOTHPEPE,0.62
TIMETRAVELPP,0.0
TRIPPYPEPE,0.757
WEAREALLPEPE,0.287
ZEROWINGPEPE,0.11
ZETAPEPE,0.406
