Name,gini
DOUBLEPEPE,0.495
FLUFFYPEPES,0.459
GAUDISPEPE,0.743
GRANDPEPE,0.722
KEYBOARDPEPE,0.827
KOIPEPE,0.683
LEGENDOFPEPE,0.749
MCPEPEDEBUFF,0.504
MOAIPEPE,0.898
MYPEPELITTLE,0.428
PEPEANDFEELS,0.376
PEPEART,0.737
PEPEBERLUSCA,0.741
PEPEBRICKJR,0.68
PEPECLUB,0.616
PEPECREAM,0.849
PEPEDIEPIE,0.729
PEPEGAMBIT,0.795
PEPEGOLUM,0.552
PEPEILLUSION,0.508
PEPELANDER,0.812
PEPEPAMPERS,0.64
PEPERBOY,0.833
PEPETOWN,0.834
PEPETRASH,0.87
PEPETRAZ,0.899
PEPEWANTSYOU,0.684
PLINKOPEPE,0.84
PPPGLOBAL,0.839
RAREDIETIES,0.882
RAREKEKUIT,0.692
SMUGPEPE,0.503
STAMPOFKEK,0.882
THREEDPEPE,0.736
ZOETROPEPE,0.741
