Name,gini
DECENTRAPEPE,0.791
DRAGONKEK,0.845
HISTORICPEPE,0.584
HLYPEPANCAKE,0.834
JOJOXPEPE,0.834
KANDINSKYPEP,0.408
KEKOFWAR,0.929
KIGURUMIPEPE,0.73
PEPEAKI,0.459
PEPECHAIRMAN,0.89
PEPECONTRACT,0.723
PEPEDETCTVE,0.799
PEPEHARU,0.412
PEPEHOMER,0.87
PEPEHOPE,0.505
PEPEKAPARKER,0.644
PEPEKARMA,0.765
PEPENGAROO,0.473
PEPEPHARAON,0.856
PEPEPOLLOCK,0.88
PEPERECALL,0.786
PEPESACE,0.426
PEPESEARCH,0.831
PEPESPINNER,0.505
PEPETHREESIX,0.833
PEPETHUR,0.792
PEPEWAT,0.718
PEPEWYATT,0.691
PLAYBOYPEPE,0.743
POKERPEPE,0.735
SOJOURNPEPE,0.62
TUPACPEP,0.441
UKIYOEPEPE,0.842
UZUMAKIPEPE,0.735
