,Price_Level,Date_Index
280,0.813,2020-02
281,0.813,2020-03
282,0.813,2020-04
283,0.813,2020-05
284,0.813,2020-06
285,0.813,2020-07
286,0.813,2020-08
287,0.813,2020-09
288,0.813,2020-10
289,0.813,2020-11
290,0.813,2020-12
291,0.813,2021-01
292,0.813,2021-02
293,0.813,2021-03
294,0.813,2021-04
295,0.813,2021-05
296,0.813,2021-06
297,29.81,2021-07
298,58.810132857142854,2021-08
299,127.4327100233,2021-09
300,114.83625,2021-10
301,114.83625,2021-11
302,114.83625,2021-12
303,133.87400000000002,2022-01
304,178.86,2022-02
305,178.86,2022-03
306,178.86,2022-04
307,178.86,2022-05
308,0.0,2016-01
309,0.0,2016-02
310,0.0,2016-03
311,0.0,2016-04
312,0.0,2016-05
313,0.0,2016-06
314,0.0,2016-07
315,0.0,2016-08
316,1.55825,2016-09
317,0.8522950000000001,2016-10
318,0.4065,2016-11
319,0.00542,2016-12
320,1.0839999999999999,2017-01
321,1.063675,2017-02
322,0.7317,2017-03
323,0.7317,2017-04
324,0.7317,2017-05
325,0.7317,2017-06
326,0.7317,2017-07
327,1.3820999999999999,2017-08
328,1.626,2017-09
329,1.626,2017-10
330,1.626,2017-11
331,1.626,2017-12
332,1.626,2018-01
333,1.626,2018-02
334,1.626,2018-03
335,1.626,2018-04
336,1.626,2018-05
337,1.626,2018-06
338,1.626,2018-07
339,1.626,2018-08
340,1.626,2018-09
341,1.626,2018-10
342,1.626,2018-11
343,1.626,2018-12
344,1.626,2019-01
345,1.626,2019-02
346,1.626,2019-03
347,1.626,2019-04
348,1.626,2019-05
349,1.626,2019-06
350,1.626,2019-07
351,1.626,2019-08
352,1.626,2019-09
353,1.626,2019-10
354,1.626,2019-11
355,1.626,2019-12
356,1.626,2020-01
357,1.626,2020-02
358,1.626,2020-03
359,1.626,2020-04
360,1.626,2020-05
361,1.626,2020-06
362,1.626,2020-07
363,1.626,2020-08
364,1.626,2020-09
365,1.626,2020-10
366,1.626,2020-11
367,1.626,2020-12
368,1.626,2021-01
369,1.626,2021-02
370,71.815,2021-03
371,192.15878649,2021-04
372,192.15878649,2021-05
