,Name,gini
0,PEPEBEEFTAXI,0.451
1,ONLYONEPEPE,0.0
2,JONGPEPE,0.0
3,DASHPEPE,0.162
4,PEPEPOPE,0.076
5,DARKPILLPEPE,0.068
6,FORTYTWOPEPE,0.552
7,CHERPEPEFOIL,0.566
8,PEPEVIAGRA,0.117
9,PEPELLUM,0.707
10,LOVEPEPETATO,0.495
11,PEPEGUN,0.522
12,TROUTPEPE,0.428
13,WINKELPEPE,0.0
14,HOMERPEPE,0.0
15,PEPEPIZZA,0.0
16,CLUBPEPE,0.0
17,GRIMPEPE,0.229
18,ILLUMINATIPE,0.0
19,BINARYPEPE,0.0
20,TIMETRAVELPP,0.0
21,RICKANDPEPE,0.45
22,SELLOUTPEPE,0.0
23,EYEOFTHEPEPE,0.0
24,HORRORPEPE,0.467
25,BARRYPEPE,0.135
26,BACHELORPEPE,0.107
27,PEPEPOWERONE,0.171
28,PEPEPOWERTWO,0.146
29,PEPEBREEDER,0.175
30,RARECOINMEME,0.062
31,MORPHEUSPEPE,0.103
32,PEPECASTRO,0.481
33,ZEROWINGPEPE,0.112
34,PEPEROSS,0.132
35,DEXTERPEPE,0.102
36,PEPELEPEW,0.41
37,SONICPEPE,0.507
38,WEAREALLPEPE,0.295
39,PEPECRYSTAL,0.626
40,THEARCHIPEPE,0.433
41,PHEONIXPEPE,0.399
42,BOMINABLPEPE,0.0
43,REDPUTINPEPE,0.0
44,MYLITTLEPEPE,0.0
45,PEPEBUGGED,0.0
46,PEPENOPOULOS,0.0
47,RICFLAIRPEPE,0.167
48,PEPEALASSAD,0.0
49,PEPEMILLION,0.0
50,ZZTOPEPE,0.0
51,PUTINPEPE,0.0
52,DOGGYPUTIN,0.0
53,NOFUCKSPUTIN,0.0
54,FSBPUTINPEPE,0.0
55,TENPINPUTIN,0.0
56,JESUSPEPE,0.089
57,SANDWICHPEPE,0.204
58,TECHNOPEPE,0.317
59,BAPEPE,0.062
60,TSUPEPE,0.229
61,SMUGGLASSES,0.193
62,MARVINPEPE,0.27
63,PEPECOUNTER,0.227
64,EINSTEINPEPE,0.368
65,TUXPEPE,0.673
66,PEPEGOAT,0.355
67,PTSDPEPE,0.806
68,REPOPEPE,0.593
69,PEPEKONGBIGM,0.6
70,CIRCLEOFPEPE,0.497
71,JALAPEPE,0.314
72,PEPEPHONEHOM,0.401
73,PRIVATEPEPE,0.652
74,INCREDIEPEPE,0.668
75,DRATHPEPE,0.615
76,SALTANDPEPE,0.626
77,PEPERMIND,0.406
78,RPEPEARMANDO,0.691
79,NEONPEPE,0.474
80,LEANPEPE,0.0
81,UNLUCKYPEPE,0.915
82,WOLONGPEPE,0.596
83,PEPEDARK,0.605
84,MONALISAPEPE,0.158
85,PEPEBURGUNDY,0.41
86,GADGETPEPE,0.488
87,HYPNOPEPE,0.25
88,THEMONAPEPE,0.796
89,EMPERORPEPE,0.582
90,MISSTURNPEPE,0.644
91,PRINCESSPEPE,0.607
92,PEPEFETT,0.588
93,HANPEPE,0.571
94,BEETLEPEPE,0.43
95,GODEMPEPE,0.619
96,KOJIPEPE,0.417
97,CHEECHPEPE,0.33
98,CHONGPEPE,0.376
99,PEPEPEANUTS,0.509
100,BITCOINPEPE,0.349
101,GRNDMSTRPEPE,0.747
102,SLENDERPEPE,0.727
103,PEPESMURF,0.311
104,HELOPEPE,0.597
105,PEPEKEN,0.405
106,DANPEPERIAN,0.258
107,FIREASSPEPE,0.207
108,PEPETRADER,0.388
109,LISKPPAPPEPE,0.431
110,WANTEDPEPE,0.565
111,PEPEASSANGE,0.454
112,REYPEPE,0.603
113,PEPEMONTOYA,0.688
114,ROLLINGPEPE,0.372
115,DAPPERPEPE,0.301
116,FRACTALPEPE,0.238
117,THEGODPEPE,0.78
118,PEPESQRPANTS,0.638
119,PEPESSANGE,0.434
120,PEPEJOSE,0.51
121,JACKOPEPE,0.468
122,PEPEJAPAN,0.308
123,THISISFINE,0.117
124,DATPEPE,0.52
125,NIGHTSATPEPE,0.781
126,BURNPEPE,0.647
127,PEPERARE,0.227
128,SECURITYPEPE,0.298
129,WHERESPEPE,0.0
130,PEPETHEFIRST,0.682
131,PEPEHORROR,0.602
132,PEPEVOORHEES,0.564
133,COMEDYPEPE,0.664
134,PEPECENT,0.499
135,GAINSPEPE,0.684
136,SHININGPEPE,0.452
137,PEPA,0.631
138,RELAXPEPE,0.301
139,MATADORPEPE,0.794
140,GOSPELPEPE,0.583
141,RELATEPEPE,0.39
142,BONDPEPE,0.54
143,MONTYPEPE,0.538
144,KEKET,0.422
145,PICASSOPEPE,0.801
146,PEPENUMA,0.485
147,VANGOUGHPEPE,0.802
148,MATISSEPEPE,0.797
149,DALIPEPE,0.791
150,PEPEJIRAIYA,0.759
151,MIROPEPE,0.8
152,JOELOONEYBIN,0.562
153,LAUTRECPEPE,0.804
154,SURFINGPEPE,0.797
155,KUNISADAPEPE,0.8
156,PEPETUNADE,0.666
157,PEPEPOOR,0.579
158,PEPEPSI,0.623
159,PEPEOROCHI,0.733
160,RPEPERAMI,0.795
161,MURICAPEPE,0.646
162,JAKETHEPEPE,0.52
163,TIMEPEPE,0.238
164,LEPEWPEPE,0.763
165,RICHPEPEPOOR,0.734
166,UKIPEPE,0.355
167,MTPEPEMORE,0.503
168,HARRYPEPES,0.589
169,VOLDEPEPE,0.635
170,RADIOPEPE,0.783
171,PEPEHOUSE,0.759
172,BLAINEPEPE,0.193
