Name,gini
BBAEPEPE,0.714
BENDERPEPE,0.407
BILLNTEDPEPE,0.802
BULBAPEPECRD,0.839
FIGHTPEPE,0.701
FRENCHPEPE,0.717
FULLMETALPEP,0.654
HEKET,0.72
KAPPAPEPE,0.702
KEKVSMOLOCH,0.911
LEDZEPEPELIN,0.657
MODERNPEPE,0.648
MOONWAVEPEPE,0.595
NMPPEPE,0.797
PEPEDHARMA,0.766
PEPEDWARD,0.532
PEPEFREQ,0.855
PEPEHARDTALK,0.851
PEPEHOFFMAN,0.332
PEPEKEEPER,0.732
PEPERANGER,0.566
PEPEROYAL,0.528
PEPESTYLE,0.549
PEPEUNIVERSE,0.537
RARELORDKEK,0.859
ROBOTPEPE,0.847
RUNTHEPEPE,0.655
SEGWITPEPE,0.738
SMUGCHIPS,0.857
THEPEPEKISS,0.707
THEVERYPEPE,0.857
TRINITYPEPE,0.561
ULTIMATEPEPE,0.79
WARRIORPEPE,0.686
