Name,x,points
,0.0,0.0
,0.2,0.07357859531772576
,0.4,0.14715719063545152
,0.6,0.22073578595317725
,0.8,0.29431438127090304
,1.0,1.0
,0.0,0.0
,0.2,0.08620689655172414
,0.4,0.1724137931034483
,0.6,0.25862068965517243
,0.8,0.3448275862068966
,1.0,1.0
,0.0,0.0
,0.2,0.02108433734939759
,0.4,0.04216867469879518
,0.6,0.06325301204819277
,0.8,0.09036144578313253
,1.0,1.0
,0.0,0.0
,0.2,0.07216494845360824
,0.4,0.14432989690721648
,0.6,0.21649484536082475
,0.8,0.28865979381443296
,1.0,1.0
,0.0,0.0
,0.2,0.04040404040404041
,0.4,0.08080808080808081
,0.6,0.12121212121212122
,0.8,0.18181818181818182
,1.0,1.0
,0.0,0.0
,0.2,0.04666666666666667
,0.4,0.09333333333333334
,0.6,0.14
,0.8,0.18666666666666668
,1.0,1.0
,0.0,0.0
,0.2,0.028169014084507043
,0.4,0.056338028169014086
,0.6,0.08450704225352113
,0.8,0.1267605633802817
,1.0,1.0
,0.0,0.0
,0.2,0.03
,0.4,0.06
,0.6,0.125
,0.8,0.265
,1.0,1.0
,0.0,0.0
,0.2,0.0898876404494382
,0.4,0.1797752808988764
,0.6,0.2696629213483146
,0.8,0.38202247191011235
,1.0,1.0
,0.0,0.0
,0.2,0.06060606060606061
,0.4,0.12121212121212122
,0.6,0.18181818181818182
,0.8,0.24242424242424243
,1.0,1.0
,0.0,0.0
,0.2,0.07931034482758621
,0.4,0.15862068965517243
,0.6,0.23793103448275862
,0.8,0.35517241379310344
,1.0,1.0
,0.0,0.0
,0.2,0.03
,0.4,0.06
,0.6,0.09
,0.8,0.12
,1.0,1.0
,0.0,0.0
,0.2,0.06306306306306306
,0.4,0.12612612612612611
,0.6,0.1891891891891892
,0.8,0.25225225225225223
,1.0,1.0
,0.0,0.0
,0.2,0.05
,0.4,0.1
,0.6,0.15
,0.8,0.2
,1.0,1.0
,0.0,0.0
,0.2,0.0707070707070707
,0.4,0.1414141414141414
,0.6,0.21212121212121213
,0.8,0.3434343434343434
,1.0,1.0
,0.0,0.0
,0.2,0.07368421052631578
,0.4,0.14736842105263157
,0.6,0.22105263157894736
,0.8,0.29473684210526313
,1.0,1.0
,0.0,0.0
,0.2,0.08823529411764706
,0.4,0.17647058823529413
,0.6,0.2647058823529412
,0.8,0.35294117647058826
,1.0,1.0
,0.0,0.0
,0.2,0.06
,0.4,0.12
,0.6,0.18
,0.8,0.24
,1.0,1.0
,0.0,0.0
,0.2,0.07013574660633484
,0.4,0.14027149321266968
,0.6,0.21040723981900453
,0.8,0.31447963800904977
,1.0,1.0
,0.0,0.0
,0.2,0.030303030303030304
,0.4,0.06060606060606061
,0.6,0.09090909090909091
,0.8,0.12121212121212122
,1.0,1.0
,0.0,0.0
,0.2,0.030303030303030304
,0.4,0.06060606060606061
,0.6,0.09090909090909091
,0.8,0.1717171717171717
,1.0,1.0
,0.0,0.0
,0.2,0.11
,0.4,0.22
,0.6,0.33
,0.8,0.52
,1.0,1.0
,0.0,0.0
,0.2,0.04861111111111111
,0.4,0.09722222222222222
,0.6,0.14583333333333334
,0.8,0.19444444444444445
,1.0,1.0
,0.0,0.0
,0.2,0.15
,0.4,0.3
,0.6,0.45
,0.8,0.6
,1.0,1.0
,0.0,0.0
,0.2,0.12371134020618557
,0.4,0.24742268041237114
,0.6,0.3711340206185567
,0.8,0.4948453608247423
,1.0,1.0
,0.0,0.0
,0.2,0.052083333333333336
,0.4,0.10416666666666667
,0.6,0.15625
,0.8,0.20833333333333334
,1.0,1.0
