,Price_Level,Date_Index
0,0.0,2016-01
1,0.0,2016-02
2,0.0,2016-03
3,0.0,2016-04
4,0.0,2016-05
5,0.0,2016-06
6,0.0,2016-07
7,0.0,2016-08
8,0.0,2016-09
9,9.66,2016-10
10,11.04,2016-11
11,11.04,2016-12
12,55.2,2017-01
13,55.2,2017-02
14,27.6,2017-03
15,27.6,2017-04
16,27.6,2017-05
17,27.6,2017-06
18,41.4,2017-07
19,41.4,2017-08
20,41.4,2017-09
21,41.4,2017-10
22,41.4,2017-11
23,41.4,2017-12
24,41.4,2018-01
25,41.4,2018-02
26,41.4,2018-03
27,41.4,2018-04
28,41.4,2018-05
29,41.4,2018-06
30,41.4,2018-07
31,41.4,2018-08
32,41.4,2018-09
33,41.4,2018-10
34,41.4,2018-11
35,41.4,2018-12
36,41.4,2019-01
37,41.4,2019-02
38,41.4,2019-03
39,41.4,2019-04
40,41.4,2019-05
41,41.4,2019-06
42,41.4,2019-07
43,41.4,2019-08
44,41.4,2019-09
45,41.4,2019-10
46,41.4,2019-11
47,41.4,2019-12
48,41.4,2020-01
49,41.4,2020-02
50,41.4,2020-03
51,41.4,2020-04
52,41.4,2020-05
53,41.4,2020-06
54,41.4,2020-07
55,41.4,2020-08
56,41.4,2020-09
57,41.4,2020-10
58,41.4,2020-11
59,41.4,2020-12
60,41.4,2021-01
61,41.4,2021-02
62,9901.35,2021-03
63,9901.35,2021-04
64,9901.35,2021-05
65,3674.501,2021-06
66,3674.501,2021-07
67,3674.501,2021-08
68,3674.501,2021-09
69,3674.501,2021-10
70,2762.76,2021-11
71,2762.76,2021-12
72,2762.76,2022-01
73,2762.76,2022-02
74,2762.76,2022-03
75,2762.76,2022-04
76,2762.76,2022-05
77,0.0,2016-01
78,0.0,2016-02
79,0.0,2016-03
80,0.0,2016-04
81,0.0,2016-05
82,0.0,2016-06
83,0.0,2016-07
84,0.0,2016-08
85,0.0,2016-09
86,0.0,2016-10
87,0.0,2016-11
88,0.0,2016-12
89,0.0,2017-01
90,0.0,2017-02
91,0.0,2017-03
92,0.0,2017-04
93,0.0,2017-05
94,0.0,2017-06
95,0.0,2017-07
96,0.0,2017-08
97,0.0,2017-09
98,0.0,2017-10
99,0.0,2017-11
100,0.0,2017-12
101,0.0,2018-01
102,0.828,2018-02
103,0.828,2018-03
104,0.828,2018-04
105,0.828,2018-05
106,0.828,2018-06
107,0.828,2018-07
108,0.828,2018-08
109,0.828,2018-09
110,0.828,2018-10
111,0.828,2018-11
112,0.828,2018-12
113,0.828,2019-01
114,0.828,2019-02
115,0.828,2019-03
116,0.828,2019-04
117,0.828,2019-05
