,Name,gini
0,BACHELORPEPE,0.107
1,BADASSPEPE,0.588
2,BADHAIRDAY,0.772
3,BADWISHES,0.628
4,BANEPEPE,0.8
5,BAPEPE,0.062
6,BARBARIANPEP,0.457
7,BARBARICPEPE,0.662
8,BARRYPEPE,0.135
9,BATMANNPEPE,0.633
10,BATMANPEPE,0.23
11,BATTLEPEPE,0.821
12,BBAEPEPE,0.714
13,BBOYPEPE,0.608
14,BEACHPEPE,0.655
15,BEATPEPE,0.828
16,BEETLEPEPE,0.43
17,BEHAPPYPEPE,0.438
18,BENDERPEPE,0.421
19,BETTYPEPE,0.66
20,BIGVERNPEPE,0.56
21,BILLNTEDPEPE,0.804
22,BINARYPEPE,0.0
23,BITCOINPEPE,0.349
24,BLAINEPEPE,0.193
25,BLINGBLING,0.607
26,BLKCHNJESUS,0.835
27,BLOCKPEPE,0.88
28,BLOWPEPE,0.867
29,BODYBACKPEPE,0.494
30,BOFPEPE,0.536
31,BOMINABLPEPE,0.0
32,BONDPEPE,0.54
33,BOWLPEPE,0.367
34,BOYSCLUBPEPE,0.166
35,BREATHEDPEPE,0.358
36,BREITBARTPEP,0.751
37,BRIGHTONPEPE,0.841
38,BTCPEPE,0.41
39,BTTLFTHESUBS,0.878
40,BULLYPEPE,0.829
41,BUPEPE,0.839
42,CALLHOTPEPE,0.899
43,CANNEDPEPE,0.326
44,CANNONPEPE,0.423
45,CANTDRAWPEPE,0.464
46,CARLOSPEPE,0.865
47,CARTOONPEPE,0.539
48,CERSEIPEPE,0.623
49,CHEECHPEPE,0.33
50,CHERPEPEFOIL,0.566
51,CHERRYONTOP,0.599
52,CHIKUNPEPE,0.399
53,CHOCOPEPE,0.805
54,CHONGPEPE,0.376
55,CHUWAPEPE,0.708
56,CHYNAPEPE,0.228
57,CICACOINPEPE,0.607
58,CIRCLEOFPEPE,0.497
59,CLCKWRKGREEN,0.656
60,CLUBSPEPE,0.528
61,CNPEPE,0.883
62,CNTRFLDPEPE,0.822
63,COBAINPEPE,0.265
64,COINEATER,0.929
65,COLDPEPE,0.192
66,CONFUSEDPEPE,0.921
67,CONSPIRATARD,0.829
68,CPTMRICAPEPE,0.36
69,CREMAPEPE,0.369
70,CREWLOVEPEPE,0.658
71,CRIMINALPEPE,0.439
72,CROPPEPE,0.745
73,CRYPTOPEPES,0.598
74,CUBANPEPE,0.761
75,CUBEPEPE,0.548
76,CULTOFKEK,0.451
77,CYBERPEP,0.653
78,DALIPEPE,0.791
79,DANKPEPE,0.563
80,DANKVADER,0.758
81,DANNIBOIPEPE,0.83
82,DANPEPERIAN,0.258
83,DAOPEPEHACK,0.88
84,DAPPERPEPE,0.301
85,DARKPILLPEPE,0.068
86,DASHPEPE,0.082
87,DATPEPE,0.52
88,DAWNOTHEPEPE,0.482
89,DDDPEPE,0.848
90,DEEPWEBPEPE,0.873
91,DEGENERPEPE,0.59
92,DELUXEPEPEHD,0.425
93,DEUSEXPEPE,0.343
94,DEXTERPEPE,0.102
95,DIAMONDSPEPE,0.563
96,DIAVOLO,0.935
97,DIERCHANCHU,0.458
98,DJPEPE,0.12
99,DOGEVSPEPE,0.719
100,DOGGYPUTIN,0.0
101,DOGSALL,0.138
102,DOMPEPENON,0.537
103,DORAETROLL,0.306
104,DOSPEPES,0.645
105,DOUBLEPEPE,0.508
106,DRATHPEPE,0.615
107,DRDIRTYPEPE,0.873
108,DRILLPEPE,0.904
109,DROPPEPE,0.885
110,DRSTRNGEPEPE,0.838
111,DUMBLEPEPE,0.609
112,DUMMIES,0.919
113,EATEPEPE,0.786
114,EAZYP,0.603
115,EGGPLANTMKNY,0.855
116,EGGPLANTPEPE,0.789
117,EINSTEINPEPE,0.368
118,EMBRYOPEPE,0.867
119,EMPERORPEPE,0.582
120,ENGLISHPEPE,0.568
121,ERDOPEPEGAN,0.75
122,EXCLUPEPE,0.566
123,EYEOFTHEPEPE,0.0
124,FASHIONPEP,0.438
125,FATPEPE,0.798
126,FEATHERSPEPE,0.685
127,FIGHTPEPE,0.701
128,FIGHTSYSTEM,0.822
129,FILEONPEPE,0.423
130,FIREASSPEPE,0.207
131,FLAPPYPEPE,0.895
132,FLUFFYPEPES,0.463
133,FOLDERPEPE,0.476
134,FORKPEPE,0.708
135,FORTYTWOPEPE,0.552
136,FRACTALPEPE,0.238
137,FREEMYPEPE,0.382
138,FREETIBETPP,0.55
139,FRENCHPEPE,0.717
140,FRIENDSPEPE,0.874
141,FROGBUS,0.697
142,FRYPEPE,0.637
143,FSBPUTINPEPE,0.0
144,FUJINPEPE,0.718
145,FULLMETALPEP,0.657
146,FUNPEPE,0.792
147,GADGETPEPE,0.488
148,GADSDENPEPE,0.791
149,GAINSPEPE,0.684
150,GAIUSPEPEUS,0.647
151,GAMBITPEPE,0.625
152,GAMEOFPEPE,0.719
153,GENIEPEPE,0.588
154,GODEMPEPE,0.619
155,GOKUPEPE,0.935
156,GOSPELPEPE,0.583
157,GOTHICPEPE,0.755
158,GRANDPEPE,0.724
159,GRANDPEPES,0.727
160,GREEDYPEPES,0.745
161,GRIMPEPE,0.229
162,GRNDMSTRPEPE,0.747
163,GROYPAUCTION,0.677
164,GROYPERDB,0.647
165,GROYPERMONKY,0.871
166,GTAPEP,0.541
167,GUNSNPEPES,0.439
168,GURUPEPE,0.607
169,GUYBRUSH,0.702
170,HAIRPEPE,0.712
171,HANPEPE,0.571
172,HANSEIPEPE,0.686
173,HARAMPEPE,0.774
174,HARDPEPEFORK,0.735
175,HARRYPEPES,0.589
176,HEARTSPEPE,0.587
177,HEISENPEPE,0.727
178,HELOPEPE,0.597
179,HERNIAPEPE,0.144
180,HILLARYPEPE,0.672
181,HIPPIEPEPE,0.332
182,HISTORICPEPE,0.584
183,HOLYPEPE,0.865
184,HUCKAPEPE,0.435
185,HULAPEPE,0.861
186,HULKPEPE,0.378
187,HUMBLEPEPE,0.621
188,HYPNOPEPE,0.25
189,ILLIDANPEPE,0.625
190,ILOVEPEPE,0.802
191,ILUMINATRARE,0.422
192,IMWITHPEPE,0.577
193,INCREDIEPEPE,0.668
194,IRONMANPEPE,0.396
195,IRONPEPE,0.347
196,ISOPEPE,0.587
197,ITPEPE,0.664
198,JACKOPEPE,0.468
199,JACKPOTPEPE,0.629
200,JALAPEPE,0.314
201,JAPANESEPEPE,0.61
202,JIHANWU,0.509
203,JINQIANSHU,0.669
204,JMPEPEKEYNES,0.73
205,JOELOONEYBIN,0.562
206,JOKERPEPEKEK,0.814
207,JOLIELEGPEPE,0.474
208,JONGPEPE,0.0
209,JONSNOWPEPE,0.578
210,JORDANPEPE,0.602
211,JUDYPEPE,0.548
212,JUNSETHPEPE,0.548
213,KAMIKAZEPEPE,0.592
214,KANDINSKYPEP,0.408
215,KARTANDPEPE,0.656
216,KEISERPEPE,0.741
217,KEKALITY,0.361
218,KEKANC,0.798
