,Price_Level,Date_Index
0,0.0,2016-01
1,0.0,2016-02
2,0.0,2016-03
3,0.0,2016-04
4,0.0,2016-05
5,0.0,2016-06
6,0.0,2016-07
7,0.0,2016-08
8,1.7999999999999998,2016-09
9,1.44,2016-10
10,9.6,2016-11
11,2.4,2016-12
12,2.4,2017-01
13,2.4,2017-02
14,2.4,2017-03
15,2.4,2017-04
16,2.4,2017-05
17,9.169799999999999,2017-06
18,12.0,2017-07
19,12.0,2017-08
20,12.0,2017-09
21,12.0,2017-10
22,12.0,2017-11
23,12.0,2017-12
24,12.0,2018-01
25,12.0,2018-02
26,12.0,2018-03
27,12.0,2018-04
28,12.0,2018-05
29,12.0,2018-06
30,12.0,2018-07
31,12.0,2018-08
32,12.0,2018-09
33,12.0,2018-10
34,12.0,2018-11
35,12.0,2018-12
36,12.0,2019-01
37,12.0,2019-02
38,12.0,2019-03
39,12.0,2019-04
40,12.0,2019-05
41,12.0,2019-06
42,12.0,2019-07
43,12.0,2019-08
44,12.0,2019-09
45,12.0,2019-10
46,12.0,2019-11
47,12.0,2019-12
48,12.0,2020-01
49,12.0,2020-02
50,12.0,2020-03
51,12.0,2020-04
52,12.0,2020-05
53,12.0,2020-06
54,12.0,2020-07
55,12.0,2020-08
56,12.0,2020-09
57,12.0,2020-10
58,12.0,2020-11
59,12.0,2020-12
60,12.0,2021-01
61,12.0,2021-02
62,12.0,2021-03
63,12.0,2021-04
64,12.0,2021-05
65,12.0,2021-06
66,12.0,2021-07
67,12.0,2021-08
68,12.0,2021-09
69,12.0,2021-10
70,12.0,2021-11
71,12.0,2021-12
72,12.0,2022-01
73,12.0,2022-02
74,12.0,2022-03
75,12.0,2022-04
76,12.0,2022-05
77,0.0,2016-01
78,0.0,2016-02
79,0.0,2016-03
80,0.0,2016-04
81,0.0,2016-05
82,0.0,2016-06
83,0.0,2016-07
84,0.0,2016-08
85,0.2103,2016-09
86,0.17417142857142856,2016-10
87,0.53496,2016-11
88,0.48,2016-12
89,1.7628000000000001,2017-01
90,2.675381866666667,2017-02
91,3.4506636,2017-03
92,4.1385876,2017-04
93,4.8996851999999995,2017-05
94,4.9766608,2017-06
95,6.6140256,2017-07
96,6.6140256,2017-08
97,8.10888,2017-09
98,3.5256,2017-10
99,3.5256,2017-11
100,6.34608,2017-12
101,6.34608,2018-01
102,6.34608,2018-02
103,2.7393912,2018-03
104,2.9870124,2018-04
105,2.9870124,2018-05
106,2.9870124,2018-06
107,1.7628,2018-07
108,1.7628,2018-08
109,1.7628,2018-09
110,1.7628,2018-10
111,1.7628,2018-11
112,1.7628,2018-12
