Name,gini
COLDPEPE,0.192
CROPPEPE,0.741
DIAVOLO,0.935
DOSPEPES,0.642
DROPPEPE,0.885
GOKUPEPE,0.936
GOTHICPEPE,0.753
GRAFFITIPEPE,0.772
IRONPEPE,0.339
IWANTTOPEPE,0.855
KARTANDPEPE,0.656
LORDOFMEMES,0.677
MIRACLEPEPE,0.816
MONOPEPEOLY,0.805
NINJAPEPES,0.616
PAPILLON,0.326
PEPEBRANDO,0.847
PEPECCOLO,0.932
PEPECOASTER,0.88
PEPEGLOBE,0.8
PEPEGOLDBAR,0.915
PEPEISLOVE,0.673
PEPEISPEACE,0.587
PEPEJOBS,0.379
PEPEPIRATE,0.817
PEPERGRIFFIN,0.295
PEPESCAVHUNT,0.489
PEPONG,0.508
PYTHONPEPE,0.816
RAGZTOPEPE,0.466
SHREKPEPE,0.677
SOUNDOFPEPE,0.918
THISPEPE,0.907
TREEOFPEPE,0.863
USMCPEPE,0.638
XPEPE,0.254
