Name,gini
BARBARICPEPE,0.653
CYBERPEPE,0.688
DIERCHANCHU,0.422
FEELSPEPE,0.766
GETPEPEFREE,0.809
GNITEPEPE,0.663
GUARDSASKIAN,0.797
GUYBRUSH,0.697
HODLWOOD,0.689
ISEEYOUPEPE,0.8
ISOPEPE,0.598
LIZZFACEPEPE,0.773
LOWRIDERPEPE,0.52
MODIPEPE,0.67
OPTIMUSPEPE,0.162
PEPEACIDTRIP,0.71
PEPEBRICCO,0.85
PEPECARNIVAL,0.551
PEPEDRACULA,0.787
PEPEDRAGO,0.719
PEPEEVO,0.397
PEPEGROUNDS,0.815
PEPELAVEY,0.906
PEPELITTLE,0.808
PEPESHADES,0.696
PEPESURF,0.91
PEPETARO,0.469
PEPEWONKA,0.83
PEROCHI,0.49
PHNTOMOFPEPE,0.798
RABBIPEPE,0.0
RICKYPEPE,0.805
RINGITPEPE,0.91
SANPOPEPE,0.574
SPEPECTRE,0.722
TAKAKO,0.749
WILEPEPE,0.699
