Name,gini
CARTOONPEPE,0.513
DOMPEPENON,0.535
DOTPEPE,0.818
EMBRYOPEPE,0.865
HYPNOTIST,0.8
JONSNOWPEPE,0.582
KEKALITY,0.361
KEKRESURRECT,0.887
LONELYPEPE,0.661
MIKOPEPE,0.712
MONSTERPEPE,0.689
MRHANSEL,0.704
PEPEAN,0.65
PEPEBANG,0.507
PEPEBRAIN,0.743
PEPECLOKWORK,0.613
PEPEFORM,0.024
PEPEHEFNER,0.572
PEPENOMIST,0.808
PEPEPEACE,0.508
PEPESHIRT,0.604
PEPETE,0.676
PEPEWOMAN,0.465
PEPEZAALBINO,0.293
PEPMANIA,0.687
PIRATESPEPES,0.87
REAPERPEPE,0.779
SANDORPEPE,0.667
SATOSHIRARE,0.841
SHADILOUNGE,0.898
TIKIPEPE,0.889
TRANSPOSE,0.727
VIRUSPEPE,0.684
