Name,gini
BADHAIRDAY,0.772
CHIKUNPEPE,0.389
DORAETROLL,0.294
EXCLUPEPE,0.587
FREEMYPEPE,0.382
HULKPEPE,0.378
LEGOPEPE,0.91
LORDSHIVA,0.406
MARSPEPE,0.797
NOBRAKESPEPE,0.885
PEPEBILL,0.555
PEPEBIRTH,0.353
PEPECAPCHA,0.883
PEPEENEUMAN,0.774
PEPEFATHER,0.693
PEPEFIFTYONE,0.712
PEPEFROMHELL,0.818
PEPEKART,0.637
PEPELEO,0.859
PEPELEVICH,0.803
PEPELYNMASON,0.428
PEPEMARIOLR,0.807
PEPEMEETUPBK,0.832
PEPEMONROE,0.749
PEPEOUTSIDE,0.828
PEPERIDER,0.675
PEPESCIENCE,0.879
PEPESMALLS,0.461
PEPESTARBOY,0.658
PEPETRODOL,0.905
PEPEXIT,0.926
POWERTOPEPE,0.667
RAREIVANKA,0.632
VICEPEPE,0.666
WIREDPEPE,0.473
