,Name,gini
0,BACHELORPEPE,0.107
1,BADASSPEPE,0.588
2,BADHAIRDAY,0.772
3,BADWISHES,0.628
4,BAPEPE,0.062
5,BARBARIANPEP,0.457
6,BARBARICPEPE,0.662
7,BARRYPEPE,0.135
8,BATMANNPEPE,0.633
9,BATMANPEPE,0.23
10,BATTLEPEPE,0.821
11,BBAEPEPE,0.714
12,BBOYPEPE,0.608
13,BEACHPEPE,0.655
14,BEATPEPE,0.828
15,BEETLEPEPE,0.43
16,BEHAPPYPEPE,0.438
17,BENDERPEPE,0.421
18,BETTYPEPE,0.66
19,BIGVERNPEPE,0.56
20,BILLNTEDPEPE,0.804
21,BINARYPEPE,0.0
22,BITCOINPEPE,0.349
23,BLAINEPEPE,0.193
24,BLINGBLING,0.607
25,BLKCHNJESUS,0.835
26,BLOCKPEPE,0.88
27,BLOWPEPE,0.867
28,BODYBACKPEPE,0.494
29,BOFPEPE,0.536
30,BOMINABLPEPE,0.0
31,BONDPEPE,0.54
32,BOWLPEPE,0.367
33,BOYSCLUBPEPE,0.166
34,BREATHEDPEPE,0.358
35,BRIGHTONPEPE,0.841
36,BTCPEPE,0.41
37,CALLHOTPEPE,0.899
38,CANNEDPEPE,0.326
39,CANNONPEPE,0.423
40,CANTDRAWPEPE,0.464
41,CARLOSPEPE,0.865
42,CARTOONPEPE,0.539
43,CERSEIPEPE,0.623
44,CHEECHPEPE,0.33
45,CHERPEPEFOIL,0.566
46,CHERRYONTOP,0.599
47,CHIKUNPEPE,0.399
48,CHONGPEPE,0.376
49,CHUWAPEPE,0.708
50,CHYNAPEPE,0.228
51,CICACOINPEPE,0.607
52,CIRCLEOFPEPE,0.497
53,CLUBSPEPE,0.528
54,CNTRFLDPEPE,0.822
55,COBAINPEPE,0.265
56,COLDPEPE,0.192
57,CONSPIRATARD,0.829
58,CPTMRICAPEPE,0.36
59,CREMAPEPE,0.369
60,CREWLOVEPEPE,0.658
61,CRIMINALPEPE,0.439
62,CROPPEPE,0.745
63,CRYPTOPEPES,0.598
64,CUBANPEPE,0.761
65,CUBEPEPE,0.548
66,CULTOFKEK,0.451
67,CYBERPEP,0.653
68,DALIPEPE,0.791
69,DANKPEPE,0.563
70,DANPEPERIAN,0.258
71,DAPPERPEPE,0.301
72,DARKPILLPEPE,0.068
73,DASHPEPE,0.162
74,DATPEPE,0.52
75,DAWNOTHEPEPE,0.482
76,DDDPEPE,0.848
77,DEEPWEBPEPE,0.873
78,DEGENERPEPE,0.59
79,DELUXEPEPEHD,0.425
80,DEUSEXPEPE,0.343
81,DEXTERPEPE,0.102
82,DIAMONDSPEPE,0.563
83,DIERCHANCHU,0.458
84,DJPEPE,0.12
85,DOGEVSPEPE,0.719
86,DOGGYPUTIN,0.0
87,DOGSALL,0.138
88,DOMPEPENON,0.537
89,DORAETROLL,0.306
90,DOSPEPES,0.645
91,DOUBLEPEPE,0.508
92,DRATHPEPE,0.615
93,DRDIRTYPEPE,0.873
94,DUMBLEPEPE,0.609
95,EATEPEPE,0.786
96,EAZYP,0.603
97,EGGPLANTMKNY,0.855
98,EINSTEINPEPE,0.368
99,EMPERORPEPE,0.582
100,ENGLISHPEPE,0.568
101,ERDOPEPEGAN,0.75
102,EXCLUPEPE,0.566
103,EYEOFTHEPEPE,0.0
104,FASHIONPEP,0.438
105,FEATHERSPEPE,0.685
106,FIGHTPEPE,0.701
107,FILEONPEPE,0.423
108,FIREASSPEPE,0.207
109,FLUFFYPEPES,0.481
110,FORKPEPE,0.708
111,FORTYTWOPEPE,0.552
112,FRACTALPEPE,0.238
113,FREEMYPEPE,0.382
114,FREETIBETPP,0.55
115,FRENCHPEPE,0.717
116,FROGBUS,0.697
117,FRYPEPE,0.637
118,FSBPUTINPEPE,0.0
119,FUJINPEPE,0.718
120,FULLMETALPEP,0.657
121,FUNPEPE,0.792
122,GADGETPEPE,0.488
123,GADSDENPEPE,0.791
124,GAINSPEPE,0.684
125,GAIUSPEPEUS,0.647
126,GAMBITPEPE,0.625
127,GAMEOFPEPE,0.719
128,GENIEPEPE,0.588
129,GODEMPEPE,0.619
130,GOSPELPEPE,0.583
131,GOTHICPEPE,0.755
132,GRANDPEPE,0.724
133,GRANDPEPES,0.727
134,GREEDYPEPES,0.745
135,GRIMPEPE,0.229
136,GRNDMSTRPEPE,0.747
137,GROYPAUCTION,0.677
138,GROYPERDB,0.647
139,GROYPERMONKY,0.871
140,GTAPEP,0.541
141,GUNSNPEPES,0.439
142,GUYBRUSH,0.702
143,HANPEPE,0.571
144,HARAMPEPE,0.774
145,HARDPEPEFORK,0.735
146,HARRYPEPES,0.589
147,HEARTSPEPE,0.587
148,HELOPEPE,0.597
149,HERNIAPEPE,0.144
150,HILLARYPEPE,0.672
151,HIPPIEPEPE,0.332
152,HISTORICPEPE,0.584
153,HUCKAPEPE,0.435
154,HULKPEPE,0.378
155,HUMBLEPEPE,0.621
156,HYPNOPEPE,0.25
157,ILLIDANPEPE,0.625
158,ILOVEPEPE,0.802
159,ILUMINATRARE,0.422
160,IMWITHPEPE,0.577
161,INCREDIEPEPE,0.668
162,IRONMANPEPE,0.396
163,IRONPEPE,0.347
164,ISOPEPE,0.587
165,ITPEPE,0.664
166,JACKOPEPE,0.468
167,JALAPEPE,0.314
168,JAPANESEPEPE,0.61
169,JIHANWU,0.509
170,JINQIANSHU,0.669
171,JMPEPEKEYNES,0.73
172,JOELOONEYBIN,0.562
173,JOLIELEGPEPE,0.474
174,JONGPEPE,0.0
175,JONSNOWPEPE,0.578
176,JORDANPEPE,0.602
177,JUDYPEPE,0.548
178,JUNSETHPEPE,0.548
179,KAMIKAZEPEPE,0.592
180,KANDINSKYPEP,0.408
181,KARTANDPEPE,0.656
182,KEKALITY,0.361
183,KEKANC,0.798
184,KEKET,0.422
185,KEKFURY,0.786
186,KEKMONTECRLO,0.683
187,KEKOGGS,0.647
188,KEKTOPUS,0.684
189,KFPEPE,0.55
190,KICKPEPE,0.799
191,KIGURUMIPEPE,0.737
192,KILLARYPEPE,0.389
193,KINGRINGPEPE,0.731
194,KNITTEDPEPE,0.501
195,KOIPEPE,0.685
196,KOJIPEPE,0.417
197,KRUEGERPEPE,0.732
198,KUNAIKEK,0.834
199,KUNGFUPEPE,0.636
200,KUNISADAPEPE,0.8
201,LEDZEPEPELIN,0.656
202,LEGENDOFPEPE,0.749
203,LEPEWPEPE,0.763
204,LIAMPEPE,0.294
205,LIGHTITON,0.269
206,LIKEPEPEBRO,0.288
207,LISKPPAPPEPE,0.425
208,LONELYPEPE,0.661
209,LORDGLEN,0.422
210,LORDSHIVA,0.408
211,LOVEPEPETATO,0.495
212,LOWRIDERPEPE,0.517
213,LUCHAPEPE,0.637
214,LUPEPEN,0.387
215,MADMAXPEPE,0.698
216,MAGICPEPEYE,0.788
217,MANDARAPEPE,0.699
218,MANDELPEPE,0.747
