,Name,gini
0,BADASSPEPE,0.588
1,BADHAIRDAY,0.772
2,BADWISHES,0.628
3,BANEPEPE,0.8
4,BAPEPE,0.062
5,BARBARIANPEP,0.457
6,BARRYPEPE,0.135
7,BATMANNPEPE,0.633
8,BATMANPEPE,0.23
9,BATTLEPEPE,0.821
10,BBAEPEPE,0.714
11,BBOYPEPE,0.608
12,BEACHPEPE,0.655
13,BEATPEPE,0.828
14,BEETLEPEPE,0.43
15,BEHAPPYPEPE,0.438
16,BENDERPEPE,0.421
17,BETTYPEPE,0.66
18,BIGVERNPEPE,0.56
19,BITCOINPEPE,0.349
20,BLAINEPEPE,0.193
21,BLINGBLING,0.607
22,BLKCHNJESUS,0.835
23,BODYBACKPEPE,0.494
24,BOFPEPE,0.536
25,BONDPEPE,0.54
26,BOWLPEPE,0.367
27,BOYSCLUBPEPE,0.166
28,BREATHEDPEPE,0.358
29,BREITBARTPEP,0.751
30,BTCPEPE,0.41
31,BTTLFTHESUBS,0.878
32,BULLYPEPE,0.829
33,BUPEPE,0.839
34,CALLHOTPEPE,0.899
35,CANNEDPEPE,0.326
36,CANNONPEPE,0.423
37,CANTDRAWPEPE,0.464
38,CARTOONPEPE,0.539
39,CERSEIPEPE,0.623
40,CHEECHPEPE,0.33
41,CHERPEPEFOIL,0.566
42,CHERRYONTOP,0.599
43,CHIKUNPEPE,0.399
44,CHOCOPEPE,0.805
45,CHONGPEPE,0.376
46,CHUWAPEPE,0.708
47,CHYNAPEPE,0.228
48,CICACOINPEPE,0.607
49,CIRCLEOFPEPE,0.497
50,CLCKWRKGREEN,0.656
51,CLUBSPEPE,0.528
52,CNPEPE,0.883
53,CNTRFLDPEPE,0.822
54,COBAINPEPE,0.265
55,COINEATER,0.929
56,COLDPEPE,0.192
57,CONFUSEDPEPE,0.921
58,CPTMRICAPEPE,0.36
59,CREMAPEPE,0.369
60,CREWLOVEPEPE,0.658
61,CRIMINALPEPE,0.439
62,CROPPEPE,0.745
63,CRYPTOPEPES,0.598
64,CUBANPEPE,0.761
65,CUBEPEPE,0.548
66,CYBERPEP,0.653
67,DANKPEPE,0.563
68,DANKVADER,0.758
69,DANNIBOIPEPE,0.83
70,DANPEPERIAN,0.258
71,DAOPEPEHACK,0.88
72,DAPPERPEPE,0.301
73,DARKPILLPEPE,0.068
74,DASHPEPE,0.082
75,DATPEPE,0.52
76,DAWNOTHEPEPE,0.482
77,DDDPEPE,0.848
78,DELUXEPEPEHD,0.425
79,DEUSEXPEPE,0.343
80,DEXTERPEPE,0.102
81,DIAMONDSPEPE,0.563
82,DIAVOLO,0.935
83,DIERCHANCHU,0.458
84,DJPEPE,0.12
85,DOGEVSPEPE,0.719
86,DOGGYPUTIN,0.0
87,DOGSALL,0.138
88,DORAETROLL,0.306
89,DOSPEPES,0.645
