Name,gini
BOWIEPEP,0.75
BOWLPEPE,0.367
BUBREAKUP,0.764
COVPEPERARE,0.618
CULTOFKEK,0.442
DANNIBOIPEPE,0.83
DUMMIES,0.919
EAZYP,0.603
FATPEPSLIM,0.847
GAMEOFPEPE,0.719
HULAPEPE,0.861
ICPEPE,0.795
KAMIKAZEPEPE,0.592
KEKENESIS,0.691
KEROPEPE,0.792
LUCHAPEPE,0.637
LUKEJRPEPE,0.892
MAUIPEPE,0.863
MELANCOLIE,0.772
MUNETOPEPE,0.927
PEPEGIRL,0.741
PEPEHAMMER,0.915
PEPEJIRO,0.327
PEPELARGE,0.612
PEPELSD,0.521
PEPEMAONE,0.817
PEPENCEPTION,0.64
PEPETIA,0.109
PEPEXECUTIVE,0.809
PSYKEKDELIC,0.736
PUMPINGPEPE,0.566
PUREGOLDPEPE,0.65
ROOMRAREPEPE,0.62
TADPOLEPEPE,0.86
