Date_Index,Price_Level
2016-09,287.16025814567473
2016-10,1082.8205055351593
2016-11,1245.7583627351717
2016-12,1617.6706775520843
2017-01,2508.2024619583985
2017-02,3892.6703117548154
2017-03,4666.157291086291
2017-04,5000.491377813535
2017-05,5268.538293151802
2017-06,5547.259245923179
2017-07,8660.260474247167
2017-08,8533.073921866215
2017-09,8430.052561861681
2017-10,8441.951201861682
2017-11,8348.092161861681
2017-12,8528.698348519281
2018-01,8551.072252519281
2018-02,8409.750119185948
2018-03,8554.638868304348
2018-04,8661.838928037681
2018-05,8662.000299599282
2018-06,8685.922699599281
2018-07,8677.313872399282
2018-08,8678.039205732615
2018-09,8678.719205732616
2018-10,8673.143205732615
2018-11,8674.956539065948
2018-12,8679.036539065948
2019-01,8679.036539065948
2019-02,8674.956539065948
2019-03,8658.500539065948
2019-04,8695.693948589758
2019-05,8739.096081923091
2019-06,8740.483281950292
2019-07,8784.003281950292
2019-08,9340.633148589759
2019-09,9361.849148589758
2019-10,9378.169148589757
2019-11,9459.687404049759
2019-12,9459.687404049759
2020-01,9503.20740404976
2020-02,9528.952204049758
2020-03,9531.672204049759
2020-04,9755.450604049758
2020-05,9760.890604049759
2020-06,9760.890604049759
2020-07,9774.490604049759
2020-08,9815.290604063359
2020-09,19809.19060406336
2020-10,19847.638305830023
2020-11,19979.538014960024
2020-12,19979.538014960024
2021-01,20036.950699330024
2021-02,20137.034499330024
2021-03,39836.66699163842
2021-04,50340.202376237445
2021-05,62373.85182063051
2021-06,58130.83043758908
2021-07,88695.09001426546
2021-08,266674.5309039034
2021-09,444784.20436949405
2021-10,479256.4990552427
2021-11,598752.2620248636
2021-12,598778.3112414377
2022-01,638742.0941118555
2022-02,640986.5761836433
2022-03,634489.1848440072
2022-04,635808.5960352031
2022-05,636416.4820727835
2022-06,633854.5349827835
