Name,x,points
,0.0,0.0
,0.2,0.2
,0.4,0.4
,0.6,0.6
,0.8,0.8
,1.0,1.0
,0.0,0.0
,0.2,0.2
,0.4,0.4
,0.6,0.6
,0.8,0.8
,1.0,1.0
,0.0,0.0
,0.2,0.14754098360655737
,0.4,0.29508196721311475
,0.6,0.4426229508196721
,0.8,0.5901639344262295
,1.0,1.0
,0.0,0.0
,0.2,0.09
,0.4,0.18
,0.6,0.27
,0.8,0.36
,1.0,1.0
,0.0,0.0
,0.2,0.25
,0.4,0.5
,0.6,0.75
,0.8,1.0
,1.0,1.0
,0.0,0.0
,0.2,0.06060606060606061
,0.4,0.12121212121212122
,0.6,0.18181818181818182
,0.8,0.2828282828282828
,1.0,1.0
,0.0,0.0
,0.2,0.11363636363636363
,0.4,0.22727272727272727
,0.6,0.3409090909090909
,0.8,0.5
,1.0,1.0
,0.0,0.0
,0.2,0.05460750853242321
,0.4,0.10921501706484642
,0.6,0.22525597269624573
,0.8,0.4812286689419795
,1.0,1.0
,0.0,0.0
,0.2,0.25
,0.4,0.5
,0.6,0.75
,0.8,1.0
,1.0,1.0
,0.0,0.0
,0.2,0.06
,0.4,0.12
,0.6,0.18
,0.8,0.26
,1.0,1.0
,0.0,0.0
,0.2,0.06788511749347259
,0.4,0.13577023498694518
,0.6,0.20365535248041775
,0.8,0.2845953002610966
,1.0,1.0
,0.0,0.0
,0.2,0.13131313131313133
,0.4,0.26262626262626265
,0.6,0.3939393939393939
,0.8,0.5353535353535354
,1.0,1.0
,0.0,0.0
,0.2,0.15
,0.4,0.3
,0.6,0.45
,0.8,0.6
,1.0,1.0
,0.0,0.0
,0.2,0.08928571428571429
,0.4,0.17857142857142858
,0.6,0.26785714285714285
,0.8,0.38392857142857145
,1.0,1.0
,0.0,0.0
,0.2,0.10101010101010101
,0.4,0.20202020202020202
,0.6,0.30303030303030304
,0.8,0.40404040404040403
,1.0,1.0
,0.0,0.0
,0.2,0.25
,0.4,0.5
,0.6,0.75
,0.8,1.0
,1.0,1.0
,0.0,0.0
,0.2,0.14583333333333334
,0.4,0.2916666666666667
,0.6,0.4375
,0.8,0.5833333333333334
,1.0,1.0
,0.0,0.0
,0.2,0.12244897959183673
,0.4,0.24489795918367346
,0.6,0.3673469387755102
,0.8,0.4897959183673469
,1.0,1.0
,0.0,0.0
,0.2,0.07
,0.4,0.14
,0.6,0.21
,0.8,0.28
,1.0,1.0
,0.0,0.0
,0.2,0.11
,0.4,0.22
,0.6,0.33
,0.8,0.44
,1.0,1.0
,0.0,0.0
,0.2,0.11224489795918367
,0.4,0.22448979591836735
,0.6,0.336734693877551
,0.8,0.4489795918367347
,1.0,1.0
,0.0,0.0
,0.2,0.050505050505050504
,0.4,0.10101010101010101
,0.6,0.15151515151515152
,0.8,0.25252525252525254
,1.0,1.0
,0.0,0.0
,0.2,0.14285714285714285
,0.4,0.2857142857142857
,0.6,0.42857142857142855
,0.8,0.5714285714285714
,1.0,1.0
,0.0,0.0
,0.2,0.07333333333333333
,0.4,0.14666666666666667
,0.6,0.22
,0.8,0.29333333333333333
,1.0,1.0
,0.0,0.0
,0.2,0.10843373493975904
,0.4,0.21686746987951808
,0.6,0.3253012048192771
,0.8,0.43373493975903615
,1.0,1.0
,0.0,0.0
,0.2,0.061224489795918366
,0.4,0.12244897959183673
,0.6,0.1836734693877551
,0.8,0.2653061224489796
,1.0,1.0
,0.0,0.0
,0.2,0.03885480572597137
,0.4,0.07770961145194274
,0.6,0.1165644171779141
,0.8,0.1768916155419223
,1.0,1.0
,0.0,0.0
,0.2,0.06
,0.4,0.12
,0.6,0.18
,0.8,0.24
,1.0,1.0
,0.0,0.0
,0.2,0.0707070707070707
,0.4,0.1414141414141414
,0.6,0.21212121212121213
,0.8,0.2828282828282828
,1.0,1.0
,0.0,0.0
,0.2,0.16666666666666666
,0.4,0.3333333333333333
,0.6,0.5
,0.8,0.75
,1.0,1.0
,0.0,0.0
,0.2,0.16
,0.4,0.32
,0.6,0.48
,0.8,0.64
,1.0,1.0
,0.0,0.0
,0.2,0.15384615384615385
,0.4,0.3076923076923077
,0.6,0.46153846153846156
,0.8,1.0
,1.0,1.0
,0.0,0.0
,0.2,0.25
,0.4,0.5
,0.6,0.75
,0.8,1.0
,1.0,1.0
,0.0,0.0
,0.2,0.15789473684210525
,0.4,0.3157894736842105
,0.6,0.47368421052631576
,0.8,0.631578947368421
,1.0,1.0
