Date_Index,Price_Level
2016-09,34260.29231451634
2016-10,148649.36243749605
2016-11,190600.24948855152
2016-12,206016.9253399531
2017-01,529833.8163399431
2017-02,957541.8423363998
2017-03,1400898.940594643
2017-04,1324765.286997081
2017-05,1225029.6691839602
2017-06,1180769.2097454662
2017-07,1665906.2360200828
2017-08,1716705.3395594426
2017-09,1670796.1099262023
2017-10,1642215.2331327244
2017-11,1582031.6707059804
2017-12,1550569.1967212937
2018-01,1550813.1966440345
2018-02,1490601.312330492
2018-03,1493589.1563150831
2018-04,1501197.657740372
2018-05,1481007.280635732
2018-06,1420621.119198586
2018-07,1343244.3416588325
2018-08,1341556.6872832181
2018-09,1345865.2272952183
2018-10,1342865.0023512181
2018-11,1340882.9671835913
2018-12,1327516.8137115913
2019-01,1310026.1796131912
2019-02,1329768.6287668112
2019-03,1321954.8183737204
2019-04,1340652.8952961203
2019-05,1371115.3615879603
2019-06,1414794.9668655603
2019-07,1460483.445273158
2019-08,1700723.5698292207
2019-09,1693647.0019132206
2019-10,1636305.6335543408
2019-11,1752014.9759565848
2019-12,1741923.0306765847
2020-01,1736792.7666765847
2020-02,1747547.6606125848
2020-03,1722536.4702925847
2020-04,3193507.4027297087
2020-05,3206483.153663309
2020-06,2225494.045072215
2020-07,2241712.5671097673
2020-08,2184441.167288178
2020-09,3715891.7068650606
2020-10,3723472.345939838
2020-11,3751930.287685898
2020-12,3751821.538285898
2021-01,3753884.2390629887
2021-02,3768436.2076871884
2021-03,6089881.557062744
2021-04,9105658.904325213
2021-05,11358514.649631865
2021-06,10997000.560411235
2021-07,18352283.378867026
2021-08,48980837.66519064
2021-09,89963269.8922645
2021-10,94725777.76563676
2021-11,95253670.51858133
2021-12,96323668.81581406
2022-01,112601414.28744426
2022-02,109440271.43388547
2022-03,109473285.1677344
2022-04,110549130.4998543
2022-05,111068470.24625549
2022-06,109903196.16510569
