,Date,Volume sold
38,2022-06,2417.7599999999998
42,2022-05,3298.95777997
40,2022-04,16641.7977
36,2022-03,42473.481434461595
35,2022-02,83482.27033969003
28,2022-01,122463.64966619754
27,2021-12,22638.43243091
16,2021-11,572365.137996082
11,2021-10,236500.6950766598
10,2021-09,666325.622305759
26,2021-08,238670.3612011401
9,2021-07,33167.599150379996
30,2021-06,7739.055848736667
21,2021-05,5866.407497000001
23,2021-04,11461.066973058338
8,2021-03,26017.19490691799
52,2021-02,92.4126
53,2021-01,29.96082501
46,2020-11,79.64082501
32,2020-10,37.2012854
49,2020-08,55.2
34,2020-05,24.84
50,2020-04,33.12
25,2019-07,96.6
51,2019-06,5.547599999999999
29,2019-05,139.1868
39,2019-04,76.1484
44,2019-03,30.36
31,2019-02,121.44
45,2018-10,16.56
48,2018-08,1.0119999999999998
41,2018-07,29.587199999999996
47,2018-06,38.8884
7,2018-05,21.9972
6,2018-04,322.7826071999999
37,2018-03,425.6112307415995
43,2018-02,150.26717943480008
19,2018-01,529.7204519999997
15,2017-12,689.1167999999999
24,2017-11,173.51199998159998
33,2017-10,86.17962
20,2017-09,615.5545198895993
22,2017-08,290.51759999999996
5,2017-07,4747.881720000001
4,2017-06,554.6965199999999
18,2017-05,1461.6499999907999
3,2017-04,1137.672
17,2017-03,2381.562600000002
14,2017-02,6130.595352000026
13,2017-01,3969.5733120000073
2,2016-12,1303.0056601379983
1,2016-11,1159.1544716966885
0,2016-10,5422.773878240411
12,2016-09,1936.2231312000004
