Date_Index,Price_Level
2016-09,6227.418982769231
2016-10,33758.93902072467
2016-11,38789.08264835145
2016-12,53892.626431756165
2017-01,86276.78395721721
2017-02,128823.52971103895
2017-03,150849.88188246754
2017-04,167846.02628246753
2017-05,172445.93428239162
2017-06,181059.06628239164
2017-07,236989.43671883116
2017-08,238869.06243311687
2017-09,242160.7936817369
2017-10,243668.99568173688
2017-11,241716.29568173687
2017-12,245069.6956817369
2018-01,246144.00498173689
2018-02,243510.50498173689
2018-03,249375.40078345686
2018-04,253301.53390345688
2018-05,253221.32217073688
2018-06,255731.54217073688
2018-07,254735.1794107369
2018-08,254781.1794107369
2018-09,254781.1794107369
2018-10,254215.37941073687
2018-11,254215.37941073687
2018-12,254215.37941073687
2019-01,254215.37941073687
2019-02,254077.37941073687
2019-03,253939.37941073687
2019-04,255590.97655359402
2019-05,259683.13655359403
2019-06,259547.896553594
2019-07,263963.89655359404
2019-08,263963.89655359404
2019-09,263963.89655359404
2019-10,263963.89655359404
2019-11,263963.89655359404
2019-12,263963.89655359404
2020-01,263963.89655359404
2020-02,263963.89655359404
2020-03,263963.89655359404
2020-04,263963.89655359404
2020-05,264515.89655359404
2020-06,264515.89655359404
2020-07,264515.89655359404
2020-08,268655.896554974
2020-09,268655.896554974
2020-10,268445.960824974
2020-11,274892.043325974
2020-12,274892.043325974
2021-01,274892.043325974
2021-02,283581.30332597403
2021-03,1317357.469025074
2021-04,1518551.9008179908
2021-05,1843375.9529179907
2021-06,1879593.2421477907
2021-07,2820292.8209731407
2021-08,7982744.442910169
2021-09,15094277.204442656
2021-10,15476760.070019688
2021-11,18822582.138213806
2021-12,18809899.239319384
2022-01,20825928.48780959
2022-02,21156446.63040546
2022-03,20304830.842043437
2022-04,20281290.790529013
2022-05,20346962.433738038
2022-06,20367954.92373804
