Name,gini
BREATHEDPEPE,0.358
BULLYPEPE,0.828
COMEDYPEPE,0.664
DRILLPEPE,0.904
FATPEPE,0.798
GAINSPEPE,0.68
HANSEIPEPE,0.686
ILOVEPEPE,0.802
MAOISMPEPE,0.778
MAOPEPE,0.795
NEOPEPE,0.406
PARTYPEPE,0.835
PEPA,0.627
PEPEARTISTE,0.805
PEPECAMO,0.663
PEPECENT,0.495
PEPEDATA,0.801
PEPEGRAVE,0.822
PEPEHORROR,0.597
PEPEMANE,0.556
PEPERACCOON,0.531
PEPERARE,0.227
PEPETHEFIRST,0.682
PEPETHETROLL,0.892
PEPETHUGLIFE,0.49
PEPETIME,0.355
PEPETODAMOON,0.384
PEPETUITY,0.545
PEPEVOORHEES,0.564
SECURITYPEPE,0.298
SGTPEPE,0.831
SHININGPEPE,0.452
SIXTYSIXPEPE,0.85
ULTRAPEPE,0.554
ZOOKOPEPE,0.907
ZZZZPEPE,0.505
