,Name,x,points
0,,0.0,0.0
1,,0.2,0.07216494845360824
2,,0.4,0.14432989690721648
3,,0.6,0.21649484536082475
4,,0.8,0.28865979381443296
5,,1.0,1.0
6,,0.0,0.0
7,,0.2,0.2
8,,0.4,0.4
9,,0.6,0.6
10,,0.8,0.8
11,,1.0,1.0
12,,0.0,0.0
13,,0.2,0.08421052631578947
14,,0.4,0.16842105263157894
15,,0.6,0.25263157894736843
16,,0.8,0.3684210526315789
17,,1.0,1.0
18,,0.0,0.0
19,,0.2,0.19047619047619047
20,,0.4,0.38095238095238093
21,,0.6,0.5714285714285714
22,,0.8,0.7619047619047619
23,,1.0,1.0
24,,0.0,0.0
25,,0.2,0.10204081632653061
26,,0.4,0.20408163265306123
27,,0.6,0.30612244897959184
28,,0.8,0.40816326530612246
29,,1.0,1.0
30,,0.0,0.0
31,,0.2,0.12371134020618557
32,,0.4,0.24742268041237114
33,,0.6,0.3711340206185567
34,,0.8,0.4948453608247423
35,,1.0,1.0
36,,0.0,0.0
37,,0.2,0.16666666666666666
38,,0.4,0.3333333333333333
39,,0.6,0.5
40,,0.8,0.6666666666666666
41,,1.0,1.0
42,,0.0,0.0
43,,0.2,0.061224489795918366
44,,0.4,0.12244897959183673
45,,0.6,0.1836734693877551
46,,0.8,0.24489795918367346
47,,1.0,1.0
48,,0.0,0.0
49,,0.2,0.09
50,,0.4,0.18
51,,0.6,0.27
52,,0.8,0.37
53,,1.0,1.0
54,,0.0,0.0
55,,0.2,0.08
56,,0.4,0.16
57,,0.6,0.24
58,,0.8,0.32
59,,1.0,1.0
60,,0.0,0.0
61,,0.2,0.16494845360824742
62,,0.4,0.32989690721649484
63,,0.6,0.4948453608247423
64,,0.8,0.6597938144329897
65,,1.0,1.0
66,,0.0,0.0
67,,0.2,0.10416666666666667
68,,0.4,0.20833333333333334
69,,0.6,0.3125
70,,0.8,0.4479166666666667
71,,1.0,1.0
72,,0.0,0.0
73,,0.2,0.08080808080808081
74,,0.4,0.16161616161616163
75,,0.6,0.24242424242424243
76,,0.8,0.37373737373737376
77,,1.0,1.0
78,,0.0,0.0
79,,0.2,0.08
80,,0.4,0.16
81,,0.6,0.24
82,,0.8,0.37
83,,1.0,1.0
84,,0.0,0.0
85,,0.2,0.061855670103092786
