Name,gini
BAGHOLDRPEPE,0.608
CINEKEK,0.769
CREWLOVEPEPE,0.658
DOGSALL,0.142
ENGELPEPE,0.302
FIGHTSYSTEM,0.82
MADARAPEPE,0.926
MAYWEATHPEPE,0.673
MCGREGOR,0.647
MEMEFIGHTERS,0.864
MYSPEPE,0.858
PEPEFALLOUT,0.243
PEPEHARING,0.688
PEPEKICKS,0.786
PEPELUFFY,0.823
PEPELVSD,0.396
PEPENAL,0.597
PEPENATTI,0.862
PEPEPOET,0.642
PEPEREALM,0.91
PEPERRIDA,0.651
PEPESAILOR,0.859
PEPESOURCE,0.591
PEPESUMO,0.646
PEPESURRECT,0.834
PEPETREK,0.802
PEPETUUR,0.637
PEPEYOTES,0.602
PEPMONDRIAN,0.794
PEPOCKY,0.662
PMOPEPE,0.714
SEXYLADYPEPE,0.893
SQUATCHPEPE,0.853
WALLPEPE,0.554
