Name,gini
BOGDAPEPE,0.727
CHOCOPEPE,0.801
CPTMRICAPEPE,0.366
DANKVADER,0.756
DEEZPEPENUTS,0.659
FLAPPYPEPE,0.895
FORBIDENPEPE,0.795
FUTURESPEPE,0.614
GAIUSPEPEUS,0.642
HOLYPEPE,0.829
KEKPEPE,0.669
LEVELUPPEPE,0.841
MFPEPE,0.49
NEEDPEPE,0.727
NEONFROGS,0.682
PEPEDAVID,0.735
PEPEIMPOSTOR,0.695
PEPELOOP,0.813
PEPEMOVIE,0.54
PEPENAPOLEON,0.778
PEPENORMIES,0.495
PEPEPYRAMID,0.767
PEPERAMBO,0.785
PEPERAZZIS,0.817
PEPESTONED,0.69
PEPEVICH,0.556
PEPEVIRAL,0.417
PEPEWAVE,0.756
PROBLEMSOLVE,0.891
PSYCHEPEPE,0.586
RESERVPEPES,0.83
STATUEOFPEPE,0.694
SUPAPEPE,0.872
THEPEPEWHALE,0.485
TUBBIES,0.651
