Name,Type,Date,Date_Index,Supply,Price in USD,Quantity,Gini,Top_3,Top_5,Top_10,Series
PEPEASSANGE,get,2022-03-19 19:29:36,2022-03,100.0,919.08,1.0,0.475,0.46,0.52,0.65,6.0
PEPEHEFNER,get,2022-03-19 08:38:31,2022-03,100.0,275.99724,1.0,0.766,0.94,0.96,1.01,30.0
PEPEHEFNER,get,2022-03-19 00:06:39,2022-03,100.0,276.0,1.0,0.753,0.94,0.96,1.0,30.0
PEPEHEFNER,give,2022-03-18 22:56:30,2022-03,100.0,276.0,1.0,0.743,0.95,0.97,1.0,30.0
PAWNTHELAMBO,get,2022-03-18 19:58:50,2022-03,100.0,138.0,1.0,0.513,0.54,0.6,0.72,27.0
PEPEGIANT,dispenser,2022-03-16 10:25:50,2022-03,100.0,924.126,1.0,0.4,0.27,0.4,0.65,36.0
PEPEMONTOYA,dispenser,2022-03-15 20:52:39,2022-03,100.0,880.12,1.0,0.747,1.06,1.16,1.22,6.0
MRPOTATOPEPE,dispenser,2022-03-13 00:26:00,2022-03,100.0,550.075,1.0,0.423,0.35,0.45,0.62,16.0
CYBERPEP,get,2022-03-12 11:42:11,2022-03,100.0,193.2,1.0,0.664,0.7,0.84,0.89,34.0
PEPEGIANT,dispenser,2022-03-08 19:49:49,2022-03,100.0,924.126,1.0,0.401,0.26,0.39,0.64,36.0
PEPEGIANT,dispenser,2022-03-08 19:49:49,2022-03,100.0,924.126,1.0,0.396,0.25,0.38,0.63,36.0
JIHANWU,give,2022-03-07 07:51:04,2022-03,99.0,1076.4,1.0,0.555,0.6565656565656566,0.696969696969697,0.7474747474747475,20.0
PEROCHI,get,2022-03-06 12:08:05,2022-03,100.0,345.0,1.0,0.525,0.7,0.75,0.84,23.0
GADGETPEPE,give,2022-03-06 10:39:14,2022-03,100.0,358.79999999999995,1.0,0.465,0.42,0.53,0.68,4.0
PEPEGIANT,dispenser,2022-03-06 09:57:17,2022-03,100.0,924.126,1.0,0.394,0.25,0.37,0.62,36.0
BEETLEPEPE,give,2022-03-06 09:44:12,2022-03,100.0,469.2,1.0,0.42,0.34,0.45,0.6,4.0
PEPCASSO,get,2022-03-04 23:31:19,2022-03,100.0,3449.9999999999995,1.0,0.332,0.29,0.4,0.51,35.0
CREMAPEPE,give,2022-03-04 21:19:07,2022-03,100.0,124.2,1.0,0.415,0.32,0.42,0.59,26.0
CREMAPEPE,get,2022-03-04 21:19:07,2022-03,100.0,124.2,1.0,0.413,0.32,0.42,0.59,26.0
PEPEASSANGE,get,2022-03-04 20:59:49,2022-03,100.0,524.4,1.0,0.482,0.47,0.53,0.66,6.0
PEPESSANGE,get,2022-03-04 20:59:49,2022-03,100.0,414.0,1.0,0.587,0.33,0.48,0.69,6.0
PEPEASSANGE,get,2022-03-04 16:46:17,2022-03,100.0,276.0,1.0,0.482,0.47,0.53,0.66,6.0
JALAPEPE,get,2022-03-04 16:32:58,2022-03,100.0,165.6,2.0,0.346,0.26,0.33,0.46,3.0
PEPEKEN,get,2022-03-04 16:32:58,2022-03,100.0,179.39999999999998,2.0,0.438,0.35,0.44,0.57,5.0
MISSTURNPEPE,get,2022-03-04 16:32:58,2022-03,100.0,138.0,1.0,0.628,0.67,0.73,0.83,4.0
SALTANDPEPE,get,2022-03-04 16:32:58,2022-03,100.0,138.0,1.0,0.611,0.65,0.71,0.76,3.0
THEARCHIPEPE,get,2022-03-04 15:36:26,2022-03,100.0,273.23999999999995,1.0,0.416,0.45,0.53,0.63,2.0
PEPEASSANGE,give,2022-03-04 15:11:40,2022-03,100.0,190.716,1.0,0.484,0.47,0.54,0.66,6.0
CREMAPEPE,get,2022-03-04 15:11:40,2022-03,100.0,123.924,1.0,0.413,0.32,0.42,0.59,26.0
PEPESSANGE,get,2022-03-04 15:05:39,2022-03,100.0,276.0,1.0,0.587,0.33,0.48,0.69,6.0
CREMAPEPE,dispenser,2022-03-04 15:05:39,2022-03,100.0,440.06,1.0,0.42,0.33,0.43,0.6,26.0
PEPEASSANGE,get,2022-03-04 14:53:00,2022-03,100.0,414.0,1.0,0.49,0.47,0.55,0.67,6.0
MONALISAPEPE,get,2022-03-04 14:43:59,2022-03,100.0,690.0,1.0,0.219,0.19,0.23,0.33,4.0
FREETIBETPP,get,2022-03-04 10:03:54,2022-03,100.0,207.0,1.0,0.563,0.7,0.78,0.9,27.0
SALTANDPEPE,get,2022-03-04 03:41:50,2022-03,100.0,138.0,1.0,0.619,0.66,0.72,0.77,3.0
CREMAPEPE,give,2022-03-03 22:11:08,2022-03,100.0,44.16,4.0,0.435,0.35,0.45,0.62,26.0
CREMAPEPE,give,2022-03-03 22:11:08,2022-03,100.0,41.4276,11.0,0.422,0.3,0.41,0.6,26.0
CREMAPEPE,give,2022-03-03 22:11:08,2022-03,100.0,44.1876,4.0,0.43,0.34,0.44,0.61,26.0
THEARCHIPEPE,get,2022-03-03 21:28:03,2022-03,100.0,273.23999999999995,1.0,0.422,0.45,0.53,0.64,2.0
CREMAPEPE,get,2022-03-03 20:20:34,2022-03,100.0,82.8,1.0,0.452,0.39,0.49,0.64,26.0
CREMAPEPE,get,2022-03-03 20:20:34,2022-03,100.0,110.4,1.0,0.456,0.39,0.5,0.65,26.0
CREMAPEPE,get,2022-03-03 17:08:24,2022-03,100.0,41.4,6.0,0.463,0.4,0.51,0.66,26.0
CREMAPEPE,get,2022-03-03 17:08:24,2022-03,100.0,41.4,2.0,0.481,0.46,0.55,0.68,26.0
CREMAPEPE,get,2022-03-03 16:57:08,2022-03,100.0,41.4,2.0,0.493,0.49,0.57,0.69,26.0
CREMAPEPE,get,2022-03-03 16:57:08,2022-03,100.0,41.4,1.0,0.485,0.48,0.56,0.68,26.0
CREMAPEPE,get,2022-03-03 16:46:05,2022-03,100.0,41.4,2.0,0.504,0.51,0.59,0.71,26.0
MONALISAPEPE,get,2022-03-03 16:46:05,2022-03,100.0,552.0,1.0,0.227,0.2,0.24,0.34,4.0
PEPEASSANGE,get,2022-03-03 16:36:21,2022-03,100.0,414.0,1.0,0.505,0.47,0.57,0.7,6.0
PEPEASSANGE,get,2022-03-03 16:01:35,2022-03,100.0,414.0,2.0,0.506,0.48,0.57,0.7,6.0
PEPEKEN,get,2022-03-03 09:53:29,2022-03,100.0,179.39999999999998,1.0,0.446,0.35,0.44,0.59,5.0
MISSTURNPEPE,get,2022-03-03 06:13:54,2022-03,100.0,138.0,1.0,0.642,0.68,0.74,0.84,4.0
JALAPEPE,get,2022-03-03 04:36:58,2022-03,100.0,138.0,1.0,0.358,0.27,0.35,0.48,3.0
CREMAPEPE,get,2022-03-03 03:09:37,2022-03,100.0,44.16,1.0,0.51,0.53,0.61,0.72,26.0
MONALISAPEPE,get,2022-03-02 23:24:41,2022-03,100.0,350.52,1.0,0.236,0.21,0.25,0.35,4.0
UKIPEPE,get,2022-03-02 23:11:59,2022-03,100.0,57.96,1.0,0.401,0.35,0.44,0.57,9.0
UKIPEPE,get,2022-03-02 23:06:30,2022-03,100.0,57.96,1.0,0.407,0.35,0.44,0.58,9.0
MONALISAPEPE,get,2022-03-02 22:54:28,2022-03,100.0,350.52,1.0,0.239,0.22,0.26,0.36,4.0
CREMAPEPE,give,2022-03-02 22:44:51,2022-03,100.0,44.16,2.0,0.518,0.54,0.62,0.73,26.0
MONALISAPEPE,give,2022-03-02 22:44:51,2022-03,100.0,350.52,1.0,0.247,0.23,0.27,0.37,4.0
JALAPEPE,get,2022-03-02 18:21:13,2022-03,100.0,138.0,1.0,0.365,0.28,0.36,0.49,3.0
SALTANDPEPE,get,2022-03-02 15:50:36,2022-03,100.0,138.0,1.0,0.627,0.67,0.73,0.78,3.0
PEPEPEACE,give,2022-03-02 05:39:04,2022-03,100.0,220.8,1.0,0.611,0.6,0.64,0.74,30.0
MONALISAPEPE,give,2022-03-02 05:39:04,2022-03,100.0,466.716,2.0,0.283,0.27,0.31,0.41,4.0
FIREASSPEPE,give,2022-03-02 05:39:04,2022-03,50.0,690.276,1.0,0.222,0.24,0.32,0.46,6.0
CREMAPEPE,give,2022-03-02 05:39:04,2022-03,100.0,38.64,1.0,0.534,0.58,0.66,0.75,26.0
FRACTALPEPE,give,2022-03-02 05:39:04,2022-03,99.0,138.0,1.0,0.288,0.2323232323232323,0.3232323232323232,0.4444444444444444,6.0
CREMAPEPE,give,2022-03-02 05:39:04,2022-03,100.0,36.156,2.0,0.523,0.56,0.64,0.74,26.0
MONALISAPEPE,give,2022-03-02 05:39:04,2022-03,100.0,361.56,1.0,0.256,0.24,0.28,0.38,4.0
MONALISAPEPE,give,2022-03-02 05:39:04,2022-03,100.0,359.076,1.0,0.265,0.25,0.29,0.39,4.0
MONALISAPEPE,give,2022-03-02 05:39:04,2022-03,100.0,359.00699447999995,1.0,0.274,0.26,0.3,0.4,4.0
