Date,Volume sold
2022-06,1313.76
2022-05,2815.9577799699996
2022-04,5126.9376999999995
2022-03,41297.72143446161
2022-02,81241.15033969001
2022-01,111767.55999619761
2021-12,19837.672430910003
2021-11,239775.41799608243
2021-10,223883.6578766597
2021-09,554124.3758057872
2021-08,227869.1234911398
2021-07,32240.239150379995
2021-06,6997.403182070001
2021-05,5510.983496999999
2021-04,4254.706973058334
2021-03,25528.239400257993
2021-02,92.4126
2021-01,29.96082501
2020-11,79.64082501
2020-10,37.2012854
2020-08,55.2
2020-05,24.84
2019-07,55.2
2019-06,5.547599999999999
2019-05,139.18679999999998
2019-04,70.93199999999999
2019-03,30.36
2019-02,121.44
2018-10,16.56
2018-08,1.0119999999999998
2018-07,29.587199999999996
2018-06,38.888400000000004
2018-05,21.9972
2018-04,291.0423312
2018-03,329.01095474159985
2018-02,138.828
2018-01,225.43045199999997
2017-12,601.2108000000001
2017-11,149.868
2017-10,64.87242
2017-09,541.7245198895996
2017-08,260.1576
2017-07,4582.281720000002
2017-06,554.69652
2017-05,1169.0899999908
2017-04,1135.602
2017-03,1829.5626
2017-02,5588.255352000006
2017-01,3887.0493120000056
2016-12,1211.6496601380009
2016-11,1102.050071696686
2016-10,4714.833878240404
2016-09,1591.223131199998
