Name,gini
BATMANPEPE,0.23
BLAINEPEPE,0.193
BOYSCLUBPEPE,0.165
BRIGHTONPEPE,0.841
BTCPEPE,0.409
DUMBLEPEPE,0.61
JMPEPEKEYNES,0.73
LIKEPEPEBRO,0.288
PEPEALIEN,0.548
PEPEASTRO,0.588
PEPEBRICK,0.252
PEPECITY,0.731
PEPECONF,0.827
PEPEHUNGRY,0.627
PEPELOU,0.313
PEPEMAXAF,0.496
PEPESOUP,0.865
PEPEWEST,0.093
PIGPEPE,0.846
PROOFOFPEPE,0.517
REVOLUCIONAR,0.655
RPDF,0.947
RUBEUSPEPE,0.638
SITHLORDPEPE,0.493
SKIINGPEPE,0.616
SPIDERMNPEPE,0.387
SUPERMANPEPE,0.382
TAJPEPE,0.41
THELASTPEPE,0.844
VONPEPEHAYEK,0.479
