Date_Index,Price_Level
2016-09,224.93993727824173
2016-10,834.7046088104894
2016-11,915.1051984743236
2016-12,1187.6444299447344
2017-01,1826.3481828189254
2017-02,2827.3859744935066
2017-03,3364.7503874805193
2017-04,3607.1280674805193
2017-05,3762.6847341464195
2017-06,4114.245254146419
2017-07,6570.947577298701
2017-08,6582.402234441558
2017-09,6526.952454427758
2017-10,6541.772274427758
2017-11,6476.360274427759
2017-12,6641.491074427759
2018-01,6652.188006427758
2018-02,6480.953006427759
2018-03,6539.519164444958
2018-04,6578.697695644958
2018-05,6577.909378317759
2018-06,6603.011578317758
2018-07,6593.047950717759
2018-08,6593.507950717758
2018-09,6593.507950717758
2018-10,6587.8499507177585
2018-11,6587.8499507177585
2018-12,6587.8499507177585
2019-01,6587.8499507177585
2019-02,6583.709950717758
2019-03,6578.189950717759
2019-04,6594.01592214633
2019-05,6645.97752214633
2019-06,6644.62512214633
2019-07,6688.78512214633
2019-08,6688.78512214633
2019-09,6688.78512214633
2019-10,6688.78512214633
2019-11,6688.78512214633
2019-12,6688.78512214633
2020-01,6688.78512214633
2020-02,6688.78512214633
2020-03,6688.78512214633
2020-04,6688.78512214633
2020-05,6694.30512214633
2020-06,6694.305122146329
2020-07,6694.30512214633
2020-08,6735.70512216013
2020-09,6735.70512216013
2020-10,6729.46576486013
2020-11,6793.92658987013
2020-12,6793.92658987013
2021-01,6793.92658987013
2021-02,6880.81918987013
2021-03,28627.79521488913
2021-04,30828.752994347466
2021-05,35417.289015347465
2021-06,31112.324694617462
2021-07,45941.681266341795
2021-08,144104.62850571208
2021-09,260384.17289470363
2021-10,284662.7118841406
2021-11,411480.9171507484
2021-12,411358.22816180426
2022-01,431745.4949467063
2022-02,443861.802672665
2022-03,435255.44798904477
2022-04,435043.7282739005
2022-05,435700.4447059908
2022-06,435910.36960599077
