Name,gini
BEWPEPE,0.932
CNPEPE,0.884
CRYSTALPEPE,0.625
CUBANPEPE,0.762
DRSTRNGEPEPE,0.839
FINNTHEPEPE,0.581
IRONMANPEPE,0.396
JINQIANSHU,0.665
KEKSBASILISK,0.824
LETSTALKKEK,0.926
LORDGLEN,0.422
MARTYPEPFLY,0.715
MEMETICMAGIC,0.682
MEMPOOLPEPE,0.829
NAPALMPEPE,0.706
PEPEBREAKUP,0.814
PEPECOLLECT,0.827
PEPEDRAKE,0.878
PEPEFLATION,0.487
PEPEFLESH,0.715
PEPEGLOVER,0.789
PEPEKARLMARX,0.751
PEPEKIM,0.886
PEPEMACARONI,0.714
PEPEMORPHS,0.768
PEPEOLDCHAP,0.373
PEPEPUNCHOUT,0.817
PEPETEX,0.839
PEPEWOKE,0.692
PEPITCHY,0.461
PEPUNCONFIRM,0.863
PLATINUMPEPE,0.68
SALVADORPEPE,0.343
SHIALEBPEPE,0.324
STARLORDKEK,0.784
TEAPEPE,0.574
WISEPEPE,0.899
