Name,gini
BANEPEPE,0.798
BUPEPE,0.839
CHERPEPEFOIL,0.566
DANKPEPE,0.562
DAOPEPEHACK,0.877
DARKPILLPEPE,0.068
DASHPEPE,0.082
FORTYTWOPEPE,0.552
GURUPEPE,0.605
HAIRPEPE,0.713
HARDPEPEFORK,0.735
HERNIAPEPE,0.144
IMWITHPEPE,0.575
JONGPEPE,0.0
KEISERPEPE,0.741
LOVEPEPETATO,0.502
MAGICPEPEYE,0.786
NOFAPPEPE,0.82
PEPEBEEFTAXI,0.446
PEPEBOY,0.868
PEPEBROS,0.794
PEPEGUN,0.558
PEPEKACHU,0.127
PEPELLUM,0.707
PEPEMINING,0.67
PEPEPARTY,0.673
PEPEPOPE,0.04
PEPETRATION,0.803
PEPEVIAGRA,0.104
RAREPEPE,0.301
STILLPEPE,0.42
TLCPEPE,0.841
TROUTPEPE,0.425
TRUMPRARE,0.502
UFOPEPE,0.719
XOBLORTPEPE,0.593
