Name,gini
BEHAPPYPEPE,0.433
BOFPEPE,0.536
CANTDRAWPEPE,0.466
DOGEVSPEPE,0.718
GENIEPEPE,0.581
GRANDPEPES,0.696
GREEDYPEPES,0.742
ILLIDANPEPE,0.597
KNITTEDPEPE,0.503
MADMAXPEPE,0.698
MRPOTATOPEPE,0.458
OWLPEPE,0.637
PEPEBASQUIAT,0.671
PEPEGOTSWAG,0.724
PEPEKIDSART,0.43
PEPEMAORI,0.67
PEPENOSAURUS,0.84
PEPEPOOL,0.471
PEPERREVENGE,0.775
PEPESCHEME,0.573
PEPESHELDON,0.701
PEPESKELETON,0.688
PEPESUPREME,0.463
RARESLIMPEPE,0.786
RAREWOLFPEPE,0.833
SEAPEPE,0.647
THINKINGPEPE,0.832
TWOPLYPEPE,0.798
VEGGIEPEPE,0.748
WESTERNPEPE,0.776
ZENAFPEPE,0.492
