timestamp,dataGranularity,symbol,end,start,previousClose,chartPreviousClose,close
1467331200,300,BTC-USD,,,,763.781,624.681
1470009600,300,BTC-USD,,,,763.781,575.472
1472688000,300,BTC-USD,,,,763.781,609.735
1475280000,300,BTC-USD,,,,763.781,700.972
1477958400,300,BTC-USD,,,,763.781,745.691
1480550400,300,BTC-USD,,,,763.781,963.743
1483228800,300,BTC-USD,,,,763.781,970.403
1485907200,300,BTC-USD,,,,763.781,1179.97
1488326400,300,BTC-USD,,,,763.781,1071.79
1491004800,300,BTC-USD,,,,763.781,1347.89
1493596800,300,BTC-USD,,,,763.781,2286.41
1496275200,300,BTC-USD,,,,763.781,2480.84
1498867200,300,BTC-USD,,,,763.781,2875.34
1501545600,300,BTC-USD,,,,763.781,4703.39
1504224000,300,BTC-USD,,,,763.781,4338.71
1506816000,300,BTC-USD,,,,763.781,6468.4
1509494400,300,BTC-USD,,,,763.781,10233.6
1512086400,300,BTC-USD,,,,763.781,14156.4
1514764800,300,BTC-USD,,,,763.781,10221.1
1517443200,300,BTC-USD,,,,763.781,10397.9
1519862400,300,BTC-USD,,,,763.781,6973.53
1522540800,300,BTC-USD,,,,763.781,9240.55
1525132800,300,BTC-USD,,,,763.781,7494.17
1527811200,300,BTC-USD,,,,763.781,6404.0
1530403200,300,BTC-USD,,,,763.781,7780.44
1533081600,300,BTC-USD,,,,763.781,7037.58
1535760000,300,BTC-USD,,,,763.781,6625.56
1538352000,300,BTC-USD,,,,763.781,6317.61
1541030400,300,BTC-USD,,,,763.781,4017.269
1543622400,300,BTC-USD,,,,763.781,3742.7
1546300800,300,BTC-USD,,,,763.781,3457.793
1548979200,300,BTC-USD,,,,763.781,3854.785
1551398400,300,BTC-USD,,,,763.781,4105.404
1554076800,300,BTC-USD,,,,763.781,5350.727
1556668800,300,BTC-USD,,,,763.781,8574.502
1559347200,300,BTC-USD,,,,763.781,10817.155
1561939200,300,BTC-USD,,,,763.781,10085.628
1564617600,300,BTC-USD,,,,763.781,9630.664
1567296000,300,BTC-USD,,,,763.781,8293.868
1569888000,300,BTC-USD,,,,763.781,9199.585
1572566400,300,BTC-USD,,,,763.781,7569.63
1575158400,300,BTC-USD,,,,763.781,7193.599
1577836800,300,BTC-USD,,,,763.781,9350.529
1580515200,300,BTC-USD,,,,763.781,8599.509
1583020800,300,BTC-USD,,,,763.781,6438.645
1585699200,300,BTC-USD,,,,763.781,8658.554
1588291200,300,BTC-USD,,,,763.781,9461.059
1590969600,300,BTC-USD,,,,763.781,9137.993
1593561600,300,BTC-USD,,,,763.781,11323.467
1596240000,300,BTC-USD,,,,763.781,11680.82
1598918400,300,BTC-USD,,,,763.781,10784.491
1601510400,300,BTC-USD,,,,763.781,13780.995
1604188800,300,BTC-USD,,,,763.781,19625.836
1606780800,300,BTC-USD,,,,763.781,29001.72
1609459200,300,BTC-USD,,,,763.781,33114.36
1612137600,300,BTC-USD,,,,763.781,45137.77
1614556800,300,BTC-USD,,,,763.781,58918.832
1617235200,300,BTC-USD,,,,763.781,57750.176
1619827200,300,BTC-USD,,,,763.781,37332.855
1622505600,300,BTC-USD,,,,763.781,35040.836
1625097600,300,BTC-USD,,,,763.781,41626.195
1627776000,300,BTC-USD,,,,763.781,47166.688
1630454400,300,BTC-USD,,,,763.781,43790.895
1633046400,300,BTC-USD,,,,763.781,61318.957
1635724800,300,BTC-USD,,,,763.781,57005.426
1638316800,300,BTC-USD,,,,763.781,46306.445
1640995200,300,BTC-USD,,,,763.781,38483.125
1643673600,300,BTC-USD,,,,763.781,43193.234
1646092800,300,BTC-USD,,,,763.781,45538.676
1648771200,300,BTC-USD,,,,763.781,37714.875
1651363200,300,BTC-USD,,,,763.781,31792.31
1654041600,300,BTC-USD,,,,763.781,20471.482
1655635560,300,BTC-USD,,,,763.781,19661.441
