timestamp,previousClose,chartPreviousClose,dataGranularity,symbol,close,end,start
1475280000,,0.010939645,300,PEPECASH-USD,0.000217,,
1477958400,,0.010939645,300,PEPECASH-USD,0.000227,,
1480550400,,0.010939645,300,PEPECASH-USD,0.000194,,
1483228800,,0.010939645,300,PEPECASH-USD,0.000733,,
1485907200,,0.010939645,300,PEPECASH-USD,0.003089,,
1488326400,,0.010939645,300,PEPECASH-USD,0.004251,,
1491004800,,0.010939645,300,PEPECASH-USD,0.004407,,
1493596800,,0.010939645,300,PEPECASH-USD,0.023904,,
1496275200,,0.010939645,300,PEPECASH-USD,0.015804,,
1498867200,,0.010939645,300,PEPECASH-USD,0.010584,,
1501545600,,0.010939645,300,PEPECASH-USD,0.011924,,
1504224000,,0.010939645,300,PEPECASH-USD,0.014422,,
1506816000,,0.010939645,300,PEPECASH-USD,0.020507,,
1509494400,,0.010939645,300,PEPECASH-USD,0.026556,,
1512086400,,0.010939645,300,PEPECASH-USD,0.088227,,
1514764800,,0.010939645,300,PEPECASH-USD,0.062411,,
1517443200,,0.010939645,300,PEPECASH-USD,0.055202,,
1519862400,,0.010939645,300,PEPECASH-USD,0.025887,,
1522540800,,0.010939645,300,PEPECASH-USD,0.040559,,
1525132800,,0.010939645,300,PEPECASH-USD,0.024666,,
1527811200,,0.010939645,300,PEPECASH-USD,0.018183,,
1530403200,,0.010939645,300,PEPECASH-USD,0.01686,,
1533081600,,0.010939645,300,PEPECASH-USD,0.010391,,
1535760000,,0.010939645,300,PEPECASH-USD,0.00968,,
1538352000,,0.010939645,300,PEPECASH-USD,0.007104,,
1541030400,,0.010939645,300,PEPECASH-USD,0.005466,,
1543622400,,0.010939645,300,PEPECASH-USD,0.004832,,
1546300800,,0.010939645,300,PEPECASH-USD,0.003962,,
1548979200,,0.010939645,300,PEPECASH-USD,0.005913,,
1551398400,,0.010939645,300,PEPECASH-USD,0.013064,,
1554076800,,0.010939645,300,PEPECASH-USD,0.014362,,
1556668800,,0.010939645,300,PEPECASH-USD,0.016161,,
1559347200,,0.010939645,300,PEPECASH-USD,0.014661,,
1561939200,,0.010939645,300,PEPECASH-USD,0.012126,,
1564617600,,0.010939645,300,PEPECASH-USD,0.007055,,
1567296000,,0.010939645,300,PEPECASH-USD,0.005862,,
1569888000,,0.010939645,300,PEPECASH-USD,0.005926,,
1572566400,,0.010939645,300,PEPECASH-USD,0.005206,,
1575158400,,0.010939645,300,PEPECASH-USD,0.004809,,
1577836800,,0.010939645,300,PEPECASH-USD,0.006456,,
1580515200,,0.010939645,300,PEPECASH-USD,0.005015,,
1583020800,,0.010939645,300,PEPECASH-USD,0.00413,,
1585699200,,0.010939645,300,PEPECASH-USD,0.000445,,
1593561600,,0.010939645,300,PEPECASH-USD,0.000445,,
1619827200,,0.010939645,300,PEPECASH-USD,0.009702,,
1622505600,,0.010939645,300,PEPECASH-USD,0.003503,,
1625097600,,0.010939645,300,PEPECASH-USD,0.015014,,
1627776000,,0.010939645,300,PEPECASH-USD,0.061288,,
1630454400,,0.010939645,300,PEPECASH-USD,0.047281,,
1633046400,,0.010939645,300,PEPECASH-USD,0.030658,,
1635724800,,0.010939645,300,PEPECASH-USD,0.022806,,
1638316800,,0.010939645,300,PEPECASH-USD,0.015744,,
1640995200,,0.010939645,300,PEPECASH-USD,0.01094,,
1654041600,,0.010939645,300,PEPECASH-USD,,,
